Weapon	Muzzle Appearance	Hue Muzzle Effect	Muzzle Sound	Muzzle Sound Pitch	Bolt Appearance	Hue Bolt	Hit Target Appearance	Hue Hit	Miss Target Appearance	Hue Miss	Ricochet Appearance	Hue Ricochet	Hit Target Sound	Hit Target Sound Pitch	Hit Nothing Sound	Hit Nothing Sound Pitch	Hit Ricochet Sound	Hit Ricochet Sound Pitch	Hit Effect Scale	Add Damage Base Hit Effect	Add Damage Elemental Hit Effect
s	s	i	s	f	s	i	s	i	s	i	s	i	s	f	s	f	s	f	f	i	i
pistol	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_fired.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
lightRifle	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_fired.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
rifle	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_fired.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
heavyWeapon	appearance/pt_sp_placeholder.prt	1	sound/wep_rifle_fired.snd	0	appearance/pt_sp_placeholder.prt	1	appearance/pt_sp_placeholder.prt	1	appearance/pt_sp_placeholder.prt	0	appearance/pt_sp_placeholder.prt	0		0		0		0	1	1	1
shared_carbine_alliance_needler.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_alliance_needler.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_bothan_bola.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_bothan_bola.snd	0	appearance/pt_bolt_bothan_bola.prt	0		0		0		0		0		0		0	1	1	1
shared_carbine_specops_bothan_carbine.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_bothan_bola.snd	0	appearance/pt_bolt_bothan_bola.prt	0		0		0		0		0		0		0	1	1	1
shared_carbine_cdef.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_blaster_cdef.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_cdef_corsec.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_blaster_cdef_corsec.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_czerka_dart.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_czerka_dart.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_dc15.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_pistol_clone_trooper.snd	0	appearance/pt_bolt_blue.prt	0	appearance/pt_bls_1_blue_hit_creature_01.prt	0	appearance/pt_bls_1_blue_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_lt_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_carbine_dh17.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_dh17_carbine.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_dh17_black.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_dh17_carbine_black.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_dh17_snubnose.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_dh17_carbine_snubnose.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_dxr6.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_disrupter_dxr6.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_e11.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_e11_carbine.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_e11_mark2.iff		0	sound/wep_rifle_light_blaster_e11_carbine.snd	0	appearance/pt_bolt_red.prt	0		0		0		0		0		0		0	1	1	1
shared_carbine_e11_quest.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_e11_carbine_quest.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_e11_victor_quest.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_e11_carbine_victor.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_e5.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_e5.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_ee3.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_ee3.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_elite.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_imperial_scout_carbine.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_geo.iff	appearance/pt_wp_muzzle_carbine.prt	0	sound/wep_carbine_geo.snd	0	appearance/pt_bug_gun_bolt.prt	0		0		0		0		0		0		0	1	1	0
shared_carbine_laser.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_laser_carbine.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_nym_slugthrower.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_nym_slugthrower.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_proton.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_proton.snd	0	appearance/pt_bolt_proton_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_underslung.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_underslung.snd	0	appearance/pt_bolt_underslug_rotary_carbine.prt	0		1		0		0		0		0		0	1	1	1
shared_carbine_wookiee_bowcaster.iff	appearance/pt_bls_1_green_muz_flash_01.prt	0	sound/wep_wookiee_bowcaster_carbine.snd	0	appearance/pt_bolt_green.prt	0	appearance/pt_bls_1_green_hit_creature_01.prt	0	appearance/pt_bls_1_green_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_lt_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_creature_default_weapon.iff		0		0		0		0		0	appearance/pt_blast_deflect.prt	0		0		0		0	1	1	1
shared_creature_spit_heavy_flame.iff	appearance/pt_rocket_1_muz_flash.prt	0	sound/wep_shoulder_launch.snd	0	appearance/pt_bolt_fireball.prt	0	appearance/pt_explosion_md.prt	0	appearance/pt_explosion_md.prt	0	appearance/pt_blast_deflect.prt	0	sound/exp_large_generic.snd	0		0		0	1	1	1
shared_creature_spit_large_green.iff		0	sound/cr_spit_fire.snd	0	appearance/pt_spit_green_lg.prt	0	appearance/pt_spit_hit_green.prt	0	appearance/pt_spit_hit_green.prt	0	appearance/pt_blast_deflect.prt	0	sound/cr_spit_impact.snd	0		0		0	1	1	1
shared_creature_spit_large_red.iff		0	sound/cr_spit_fire.snd	0	appearance/pt_spit_red_lg.prt	0	appearance/pt_spit_hit_red.prt	0	appearance/pt_spit_hit_red.prt	0	appearance/pt_blast_deflect.prt	0	sound/cr_spit_impact.snd	0		0		0	1	1	1
shared_creature_spit_large_toxicgreen.iff		0	sound/cr_spit_fire.snd	0	appearance/pt_spit_toxicgreen_lg.prt	0	appearance/pt_spit_hit_green.prt	0	appearance/pt_spit_hit_green.prt	0	appearance/pt_blast_deflect.prt	0	sound/cr_spit_impact.snd	0		0		0	1	1	1
shared_creature_spit_large_yellow.iff		0	sound/cr_spit_fire.snd	0	appearance/pt_spit_yellow_lg.prt	0	appearance/pt_spit_hit_yellow.prt	0	appearance/pt_spit_hit_yellow.prt	0	appearance/pt_blast_deflect.prt	0	sound/cr_spit_impact.snd	0		0		0	1	1	1
shared_creature_spit_lightning_ball.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_lightning_rifle_fire.snd	0	appearance/pt_bolt_lightning.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	1
