Special Attack Id	Special Attack Name	Trail Appearance	Hue Trail	attack appearance	attack appearance hardpoint	Attack Sound	Attack Sound Pitch	Hit Appearance	Hit Sound	Hit Sound Pitch
h	s	s	i[1]	s	s	s	f[1.0]	s	s	f[1.0]
-1981333721	bh_del_cc_1		1	appearance/pt_special_attack_startle.prt	root		1	appearance/pt_special_hit_light.prt		1
-1303746906	bh_del_cc_2		1	appearance/pt_special_attack_stun.prt	root		1	appearance/pt_special_hit_medium.prt		1
-1996532836	bh_del_cc_3		1	appearance/pt_special_attack_slow.prt	root		1	appearance/pt_special_hit_heavy.prt		1
1839210880	bh_del_dm_cc_dot_1		1	appearance/pt_special_attack_startle.prt	root		1	appearance/pt_special_hit_light.prt		1
-1131202158	bh_del_dm_cc_dot_2		1	appearance/pt_special_attack_stun.prt	root		1	appearance/pt_special_hit_medium.prt		1
-1547275985	bh_del_dm_cc_dot_3		1	appearance/pt_special_attack_slow.prt	root		1	appearance/pt_special_hit_heavy.prt		1
1269495730	bh_dm_1		1	appearance/pt_special_attack_overcharge.prt	weapon		1	appearance/pt_special_hit_light.prt		1
1297787996	bh_dm_2		1	appearance/pt_special_attack_fastblast.prt	weapon		1	appearance/pt_special_hit_medium.prt		1
1641584619	bh_dm_3		1	appearance/pt_special_attack_power.prt	weapon		1	appearance/pt_special_hit_heavy.prt		1
-362016707	bh_dm_4		1	appearance/pt_special_attack_pointblank.prt	weapon		1	appearance/pt_special_hit_power.prt		1
-843202397	bh_dm_5		1	appearance/pt_special_attack_overcharge.prt	weapon		1	appearance/pt_special_hit_power.prt		1
-9272497	bh_dm_6		1	appearance/pt_special_attack_fastblast.prt	weapon		1	appearance/pt_special_hit_power.prt		1
-2123331361	bh_dm_7		1	appearance/pt_special_attack_power.prt	weapon		1	appearance/pt_special_hit_power.prt		1
1628067778	bh_dm_8		1	appearance/pt_special_attack_pointblank.prt	weapon		1	appearance/pt_special_hit_concuss.prt		1
-206115642	bh_dm_cc_1		1	appearance/pt_special_attack_stun.prt	weapon		1	appearance/pt_special_hit_light.prt		1
1627230551	bh_dm_cc_2		1	appearance/pt_special_attack_slow.prt	weapon		1	appearance/pt_special_hit_medium.prt		1
1980704636	bh_dm_cc_3		1	appearance/pt_special_attack_startle.prt	weapon		1	appearance/pt_special_hit_heavy.prt		1
1515941017	bh_dm_crit_1		1	appearance/pt_special_attack_aim.prt	weapon		1	appearance/pt_special_hit_light.prt		1
1049685041	bh_dm_crit_2		1	appearance/pt_special_attack_aim.prt	weapon		1	appearance/pt_special_hit_medium.prt		1
-1478703142	bh_sh_1		1	appearance/pt_heal.prt	root	sound/pt_sfx_meditate.snd	1	appearance/pt_special_hit_light.prt		1
-1898882823	bh_sh_2		1	appearance/pt_heal_1.prt	root	sound/pt_sfx_meditate.snd	1	appearance/pt_special_hit_light.prt		1
-855420534	bh_sh_3		1	appearance/pt_heal_2.prt	root	sound/pt_sfx_meditate.snd	1	appearance/pt_special_hit_heavy.prt		1
1974232162	co_ae_dm_1		1	appearance/pt_special_attack_cone.prt	weapon		1	appearance/pt_special_hit_light.prt		1
1625276661	co_ae_dm_2		1	appearance/pt_special_attack_cone.prt	weapon		1	appearance/pt_special_hit_medium.prt		1
1546805501	co_ae_dm_3		1	appearance/pt_special_attack_cone.prt	weapon		1	appearance/pt_special_hit_heavy.prt		1
-2112458184	co_del_ae_cc_1_1		1	appearance/pt_special_attack_startle.prt	weapon		1	appearance/pt_special_hit_light.prt		1
-429435522	co_del_ae_cc_1_2		1	appearance/pt_special_attack_stun.prt	weapon		1	appearance/pt_special_hit_medium.prt		1
1905427685	co_del_ae_cc_1_3		1	appearance/pt_special_attack_slow.prt	weapon		1	appearance/pt_special_hit_heavy.prt		1
1535969730	co_del_ae_cc_2_1		1	appearance/pt_special_attack_startle.prt	weapon		1	appearance/pt_special_hit_light.prt		1
-1365970085	co_del_ae_cc_2_2		1	appearance/pt_special_attack_stun.prt	weapon		1	appearance/pt_special_hit_medium.prt		1
-1720652817	co_del_ae_dm_1		1	appearance/pt_special_attack_cone.prt	weapon		1	appearance/pt_special_hit_light.prt		1
-411524130	co_del_ae_dm_2		1	appearance/pt_special_attack_cone.prt	weapon		1	appearance/pt_special_hit_medium.prt		1
-1286612187	co_del_ae_dm_3		1	appearance/pt_special_attack_cone.prt	weapon		1	appearance/pt_special_hit_heavy.prt		1
-1569205205	co_dm_1		1	appearance/pt_special_attack_overcharge.prt	weapon		1	appearance/pt_special_hit_light.prt		1
-1160709301	co_dm_2		1	appearance/pt_special_attack_fastblast.prt	weapon		1	appearance/pt_special_hit_medium.prt		1
2098561208	co_dm_3		1	appearance/pt_special_attack_power.prt	weapon		1	appearance/pt_special_hit_heavy.prt		1
1680594217	co_dm_4		1	appearance/pt_special_attack_pointblank.prt	weapon		1	appearance/pt_special_hit_power.prt		1
-947633006	co_dm_5		1	appearance/pt_special_attack_overcharge.prt	weapon		1	appearance/pt_special_hit_power.prt		1
411432589	co_dm_6		1	appearance/pt_special_attack_fastblast.prt	weapon		1	appearance/pt_special_hit_power.prt		1
369444811	co_dm_7		1	appearance/pt_special_attack_power.prt	weapon		1	appearance/pt_special_hit_power.prt		1
137468697	co_dm_8		1	appearance/pt_special_attack_pointblank.prt	weapon		1	appearance/pt_special_hit_concuss.prt		1
-144224704	co_fld_dm_1		1				1	appearance/pt_special_hit_light.prt		1
-1029458934	co_fld_dm_2		1				1	appearance/pt_special_hit_medium.prt		1
1536983202	co_sh_1		1	appearance/pt_heal.prt	root	sound/pt_sfx_meditate.snd	1	appearance/pt_special_hit_light.prt		1
-383495583	co_sh_2		1	appearance/pt_heal_1.prt	root	sound/pt_sfx_meditate.snd	1	appearance/pt_special_hit_medium.prt		1
-1405873309	co_sh_3		1	appearance/pt_heal_2.prt	root	sound/pt_sfx_meditate.snd	1	appearance/pt_special_hit_heavy.prt		1
1999292535	co_stim_armor		1	appearance/pt_cmndo_stim_armor.prt	root	sound/pt_sfx_meditate.snd	1			1
2118082833	co_shock_tracer_1		1	appearance/pt_cmndo_shock_trail.prt	weapon		1			1
-1608445411	co_shock_tracer_2		1	appearance/pt_cmndo_shock_trail.prt	weapon		1			1
-1216352732	co_shock_tracer_3		1	appearance/pt_cmndo_shock_trail.prt	weapon		1			1
-1884055256	co_shock_tracer_4		1	appearance/pt_cmndo_shock_trail.prt	weapon		1			1
-181442958	co_remote_detonator_1		1			sound/wep_mine_act.snd	1			1
1938805775	co_remote_detonator_2		1			sound/wep_mine_act.snd	1			1
1093620308	co_remote_detonator_3		1			sound/wep_mine_act.snd	1			1
-471027831	co_remote_detonator_4		1			sound/wep_mine_act.snd	1			1
-51746651	co_remote_detonator_5		1			sound/wep_mine_act.snd	1			1
213018398	en_dm_1		1	appearance/pt_special_attack_overcharge.prt	weapon		1	appearance/pt_special_hit_light.prt		1
621379667	en_dm_2		1	appearance/pt_special_attack_fastblast.prt	weapon		1	appearance/pt_special_hit_medium.prt		1
-1268003418	en_dm_3		1	appearance/pt_special_attack_power.prt	weapon		1	appearance/pt_special_hit_heavy.prt		1
