Weapon Effect Id	Weapon Effect Index	Projectile Appearance Template	Fire Client Effect	Hit (Creature) Client Effect	Hit (Metal) Client Effect	Hit (Stone) Client Effect	Hit (Wood) Client Effect	Hit (Other) Client Effect	Miss (Hit Water) Client Effect	Miss (Hit Terrain) Client Effect	Miss (Hit Creature) Client Effect	Miss (Hit Metal) Client Effect	Miss (Hit Stone) Client Effect	Miss (Hit Wood) Client Effect	Miss (Hit Other) Client Effect	Miss (Hit Nothing) Client Effect	Ricochet Client Effect
s	I	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
bolt	0	appearance/pt_bolt_red.prt	clientEffect/combat_bls_1_red_muz_flash_01.cef	clientEffect/combat_bls_1_red_hit_creature_01.cef	clientEffect/combat_bls_1_red_hit_other_01.cef	clientEffect/combat_bls_1_red_hit_other_01.cef	clientEffect/combat_bls_1_red_hit_other_01.cef	clientEffect/combat_bls_1_red_hit_other_01.cef	clientEffect/combat_bls_1_red_miss_water_01.cef	clientEffect/combat_bls_1_red_miss_terrain_01.cef	clientEffect/combat_bls_1_red_miss_creature_01.cef	clientEffect/combat_bls_1_red_miss_other_01.cef	clientEffect/combat_bls_1_red_miss_other_01.cef	clientEffect/combat_bls_1_red_miss_other_01.cef	clientEffect/combat_bls_1_red_miss_other_01.cef	clientEffect/combat_bls_1_red_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	1	appearance/pt_bolt_green.prt	clientEffect/combat_bls_1_green_muz_flash_01.cef	clientEffect/combat_bls_1_green_hit_creature_01.cef	clientEffect/combat_bls_1_green_hit_other_01.cef	clientEffect/combat_bls_1_green_hit_other_01.cef	clientEffect/combat_bls_1_green_hit_other_01.cef	clientEffect/combat_bls_1_green_hit_other_01.cef	clientEffect/combat_bls_1_green_miss_water_01.cef	clientEffect/combat_bls_1_green_miss_terrain_01.cef	clientEffect/combat_bls_1_green_miss_creature_01.cef	clientEffect/combat_bls_1_green_miss_other_01.cef	clientEffect/combat_bls_1_green_miss_other_01.cef	clientEffect/combat_bls_1_green_miss_other_01.cef	clientEffect/combat_bls_1_green_miss_other_01.cef	clientEffect/combat_bls_1_green_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	2	appearance/pt_bolt_blue.prt	clientEffect/combat_bls_1_blue_muz_flash_01.cef	clientEffect/combat_bls_1_blue_hit_creature_01.cef	clientEffect/combat_bls_1_blue_hit_other_01.cef	clientEffect/combat_bls_1_blue_hit_other_01.cef	clientEffect/combat_bls_1_blue_hit_other_01.cef	clientEffect/combat_bls_1_blue_hit_other_01.cef	clientEffect/combat_bls_1_blue_miss_water_01.cef	clientEffect/combat_bls_1_blue_miss_terrain_01.cef	clientEffect/combat_bls_1_blue_miss_creature_01.cef	clientEffect/combat_bls_1_blue_miss_other_01.cef	clientEffect/combat_bls_1_blue_miss_other_01.cef	clientEffect/combat_bls_1_blue_miss_other_01.cef	clientEffect/combat_bls_1_blue_miss_other_01.cef	clientEffect/combat_bls_1_blue_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	3	appearance/pt_bolt_blue.prt	clientEffect/combat_fire.cef	clientEffect/combat_bls_1_red_hit_creature_01.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_bls_1_red_miss_water_01.cef	clientEffect/combat_bls_1_red_miss_terrain_01.cef	clientEffect/combat_bls_1_red_miss_creature_01.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef
bolt	4	appearance/pt_bolt_blue.prt	clientEffect/combat_fire.cef	clientEffect/combat_bls_1_red_hit_creature_01.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_bls_1_red_miss_water_01.cef	clientEffect/combat_bls_1_red_miss_terrain_01.cef	clientEffect/combat_bls_1_red_miss_creature_01.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef	clientEffect/combat_miss.cef
bolt	5	appearance/pt_bolt_red.prt	clientEffect/combat_bls_0_wep_fire_blaster_carbine.cef	clientEffect/combat_bls_3_lt_blaster_hit_creature_01.cef	clientEffect/combat_bls_3_hv_blaster_hit_metal_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_stone_01.cef	clientEffect/combat_bls_3_hv_blaster_hit_wood_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_other_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_water_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_terrain_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_creature_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_metal_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_stone_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_wood_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_other_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	6	appearance/pt_bolt_red.prt	clientEffect/combat_bls_0_wep_fire_blaster_pistol.cef	clientEffect/combat_bls_3_lt_blaster_hit_creature_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_metal_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_stone_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_wood_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_other_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_water_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_terrain_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_creature_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_metal_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_stone_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_wood_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_other_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	7	appearance/pt_bolt_red.prt	clientEffect/combat_bls_0_wep_fire_blaster_rifle.cef	clientEffect/combat_bls_3_hv_blaster_hit_creature_01.cef	clientEffect/combat_bls_3_hv_blaster_hit_metal_01.cef	clientEffect/combat_bls_3_hv_blaster_hit_stone_01.cef	clientEffect/combat_bls_3_hv_blaster_hit_wood_01.cef	clientEffect/combat_bls_3_hv_blaster_hit_other_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_water_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_terrain_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_creature_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_metal_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_stone_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_wood_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_other_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	8	appearance/pt_bolt_red.prt	clientEffect/combat_bls_0_wep_fire_dh17.cef	clientEffect/combat_bls_3_lt_blaster_hit_creature_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_metal_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_stone_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_wood_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_other_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_water_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_terrain_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_creature_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_metal_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_stone_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_wood_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_other_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_nothing_01.cef	clientEffect/combat_miss.cef
bolt	9	appearance/pt_bolt_red.prt	clientEffect/combat_bls_1_wep_fire_e11.cef	clientEffect/combat_bls_3_hv_blaster_hit_creature_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_metal_01.cef	clientEffect/combat_bls_3_hv_blaster_hit_stone_01.cef	clientEffect/combat_bls_3_lt_blaster_hit_wood_01.cef	clientEffect/combat_bls_3_hv_blaster_hit_other_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_water_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_terrain_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_creature_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_metal_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_stone_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_wood_01.cef	clientEffect/combat_bls_3_lt_blaster_miss_other_01.cef	clientEffect/combat_bls_3_hv_blaster_miss_nothing_01.cef	clientEffect/combat_miss.cef
