objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-40078000	0	object/building/kashyyyk/thm_kash_rodian_bannerpole_s01.iff	0	0	195	0	1	0	0	0		$|
-1522854959	0	object/building/faction_perk/hq/planet_base_register.iff	0	8.31702	15.5511	2029.54	1	0	0	0	faction_perk.hq.planetary_base_register	$|
-774325041	0	unknown_67108864.iff	0	1.38135e-33	9.10844e-44	2048	-5.92091e-05	0	2.00835e+11	0		$|
-1908401984	0	unknown_33554432.iff	0	1.11692e-13	9.10844e-44	2045.83	1.31695e-19	0	-0.000943575	0		$|
-2093773463	0	unknown_100663296.iff	0	2.99151e-12	-0.0778394	2048	-11284.8	-2.21817e+30	3.93359e+17	-5.34972e+30		$|
-555016066	0	unknown_100663296.iff	0	101.254	3.53868e-05	227.023	2.19491e-10	-3.01794e-07	-1.08762e-10	1.47851e-08		$|
-1556862676	0	unknown_117440512.iff	0	2.19551	5.74869e-41	2048	836.16	0	-2.03258e-16	0		$|
-1621582391	0	unknown_218103808.iff	0	1.85968e-24	-1.64807e-32	2047.89	1.23449e-29	0	-4.02916e+17	0		$|
-1668142224	0	unknown_369098752.iff	0	2.38066e-10	-1.04206e+18	2048	4.6006e-41	0	0	0		$|
-1847828235	0	unknown_385875968.iff	0	1.61175e-30	-0.0545008	2048	-0.0554573	0	nan	0		$|
-565923755	0	unknown_520093696.iff	0	3.78526e-10	7.13301e-11	2048	4.6006e-41	0	0	0		$|
-1927376940	0	unknown_587202560.iff	0	2.60932e-11	2.30486e-41	2048	-2.6815e+33	0	-1.02291e+28	0		$|
-694282569	0	unknown_939524096.iff	0	2.24576e-21	-1.26464e+20	2048	5.03453e+11	0	2.23242e-21	0		$|
-556911782	0	unknown_939524096.iff	0	7.59909e-12	4.20322e+11	47.0386	1.28432e+26	0	-3.19723e-24	0		$|
-231542615	0	unknown_956301312.iff	0	133.685	-3.09651e+34	2048	0.0749249	0	1.251e+30	0		$|
-976317925	0	unknown_503316480.iff	0	4.83219e-05	1.34561e+17	2048	-5.00857e-06	0	29225.6	0		$|
-1960783934	0	unknown_889192448.iff	0	8.24646e-10	1.85031e+06	2048	1.41884e+30	2.21604e-18	1.03291e-10	-9.88442e+29		$|
-879410635	0	unknown_1056964608.iff	0	1.4903e-30	8.61869e-41	2048	2.40038e+14	0	-9.06368e-05	0		$|
-1241413427	0	unknown_1090519040.iff	0	5.23613e-21	8.61869e-41	2048	1.13183e-32	-6.97249e-30	-9439.06	4.8838e-11		$|
-2079230854	0	unknown_1140850688.iff	0	202.812	8.61869e-41	2048	-1.71616e+35	0	-1.5983e+26	0		$|
