objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-774325041	0	object/static/particle/pt_flocking_glowzees.iff	0	1574.26	338.003	1260.82	1	0	0	0		$|
-1908401984	0	object/static/particle/pt_flocking_glowzees.iff	0	1574.08	343.039	1260.56	1	0	0	0		$|
-2093773463	0	object/static/particle/pt_flocking_glowzees.iff	0	1573.76	326.954	1259.78	1	0	0	0		$|
-555016066	0	object/tangible/camp/camp_tent_s6.iff	0	1893.43	122.674	1514.28	0.972614	-0.0601338	0.224117	-0.0133155		$|
-1556862676	0	object/static/structure/general/banner_imperial_style_01.iff	0	1893.46	123.388	1519.38	0.435324	0	0.900274	0		$|
-1621582391	0	object/static/structure/general/banner_imperial_style_01.iff	0	1888.45	122.618	1513.47	0.398975	0	0.916962	0		$|
-1668142224	0	object/static/structure/general/camp_tent_s01.iff	0	1874.72	123.461	1514.46	0.463167	0.0260101	0.884516	-0.0493004		$|
-1847828235	0	object/static/structure/general/camp_tent_s01.iff	0	1876.08	123.099	1508.81	0.953506	0.00237475	0.297271	-0.0495005		$|
-565923755	0	object/static/structure/general/camp_tent_s01.iff	0	1882.14	122.645	1510.46	0.884963	-0.0398358	-0.46384	-0.0102644		$|
-1927376940	0	object/static/structure/general/streetlamp_medium_style_01_on.iff	0	1887.84	121.488	1516.09	0.762979	-0.0494021	-0.64383	0.0301035		$|
-694282569	0	object/static/structure/general/streetlamp_medium_style_01_on.iff	0	1890.69	121.811	1519.75	0.967829	-0.0657268	-0.241633	0.0244902		$|
-556911782	0	object/static/structure/general/campfire_fresh.iff	0	1878.32	123.019	1512.16	0.998826	-0.0290645	0.00112704	-0.0387316		$|
-231542615	0	object/building/military/military_outpost_guard_tower_1.iff	0	1912.18	127.505	1536.21	0.382683	0	0.92388	0		$|
-976317925	0	object/static/structure/dathomir/mtn_clan_gate_s01.iff	0	1624.49	266.348	1306.17	0.755093	0	-0.655617	0		$|
-1960783934	0	object/building/endor/endor_tiki_torch.iff	0	1627.55	264.62	1309.12	1	0	0	0		$|
-879410635	0	object/static/structure/dathomir/mtn_clan_pillar_s01.iff	0	1604.83	277.173	1303.64	-0.100386	0.197272	0.949808	-0.221068		$|
-1241413427	0	object/static/structure/dathomir/mtn_clan_pillar_s01.iff	0	1606.06	276.46	1311.27	0.976287	0.16835	-0.00669712	-0.135933		$|
-2079230854	0	object/static/structure/dathomir/mtn_clan_pillar_s01.iff	0	1590.42	291.963	1304.32	-0.171273	0.213282	0.939616	-0.205665		$|
-2083494600	0	object/static/structure/dathomir/mtn_clan_pillar_s01.iff	0	1591.57	291.498	1312.13	0.976287	0.16835	-0.006697	-0.135933		$|
-1946274642	0	object/static/structure/dathomir/mtn_clan_pillar_s01.iff	0	1575.85	309.077	1304.37	-0.0944236	0.200194	0.956012	-0.192479		$|
-1677962170	0	object/static/structure/dathomir/mtn_clan_pillar_s01.iff	0	1574.57	309.321	1313.33	0.945926	0.168015	-0.202056	-0.190182		$|
-1647848179	0	object/static/structure/dathomir/mtn_clan_gate_s01.iff	0	1559.09	322.157	1295.93	0.988012	0	0.15438	0		$|
-1062241431	0	object/building/endor/endor_tiki_torch.iff	0	1562.89	321.998	1297.18	1	0	0	0		$|
-854658269	0	object/static/structure/dathomir/mtn_clan_crows_nest_s01.iff	0	1574.5	327.449	1265.23	1	0	0	0		$|
