objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-73030000	0	object/tangible/spawning/spawn_egg.iff	0	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
-72030000	0	object/building/hub/space_station.iff	0	8001.03	270.111	8002.07	1	0	0	0	structure.municipal.cloning_facility	buildoutObjectId|0|0|instance_name|4|hub|isControllerObject|0|1|portalProperty.crc|0|1986195772|$|
-72029999	-72030000	object/cell/cell.iff	1	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
-1987141364	-72029999	object/static/structure/general/cloning_tube.iff	1	18.948	-0.0997884	13.5651	0.30835	0	0.951273	0		buildoutObjectId|0|-1987141364|$|
-1885064659	-72029999	object/tangible/terminal/terminal_skill.iff	1	-4.13157	-1.40686	-3.2319	0.900101	0	0.435682	0	terminal.terminal_skill:content.tos_lightswitch	buildoutObjectId|0|-1885064659|color|4|deep_red|description|4|Deep Red|range|4|8m|root_color|4|red|$|
-1815135998	-72029999	object/static/structure/general/cloning_tube.iff	1	13.6805	0	18.7319	0.451511	0	0.892266	0		buildoutObjectId|0|-1815135998|$|
-1753383693	-72029999	object/static/item/item_scrolling_screen.iff	1	12.5503	3.96231	17.9346	0.443233	0	0.896405	0		buildoutObjectId|0|-1753383693|$|
-1734690912	-72029999	object/static/structure/general/cloning_tube.iff	1	18.9483	10.9948	13.5651	0	0.951273	0	0.30835		buildoutObjectId|0|-1734690912|$|
-1676368606	-72029999	object/tangible/terminal/terminal_elevator_post_noscript.iff	1	11.9441	0	17.9749	-0.31166	0	0.950194	0		buildoutObjectId|0|-1676368606|$|
-1383831906	-72029999	object/static/item/item_scrolling_screen.iff	1	17.6285	3.98163	13.1505	0.299533	0	0.954085	0		buildoutObjectId|0|-1383831906|$|
-1154465658	-72029999	object/static/structure/general/cloning_tube.iff	1	13.6805	11.0106	18.7319	0	0.987472	0	0.157796		buildoutObjectId|0|-1154465658|$|
-728437374	-72029999	object/static/particle/pt_light_blink_green.iff	1	12.4453	3.96231	17.1195	0.886996	0	-0.461778	0		buildoutObjectId|0|-728437374|$|
-569100502	-72029999	object/tangible/tarkin_custom/decorative/ply_all_bespin_house_door2.iff	1	13.0974	0.428288	17.9647	0.996742	0	0.0806547	0		buildoutObjectId|0|-569100502|$|
-522231531	-72029999	object/tangible/tarkin_custom/decorative/ply_all_bespin_house_door2.iff	1	18.1587	0.428288	13.0124	0.972341	0	0.233565	0		buildoutObjectId|0|-522231531|$|
-368164076	-72029999	object/static/particle/pt_light_blink_green.iff	1	17.2798	3.68329	12.4064	0.947651	0	-0.319308	0		buildoutObjectId|0|-368164076|$|
-316280490	-72029999	object/tangible/terminal/terminal_elevator_post_noscript.iff	1	17.0635	0	13.3739	-0.454615	0	0.890688	0		buildoutObjectId|0|-316280490|$|
-72028000	-72029999	object/tangible/instrument/nalargon.iff	1	-15.5902	0	-15.5647	0.92388	0	0.382683	0	systems.skills.performance.instrument:theme_park.stp.wendle.dax_vreebo	ai.mood|4|themepark_music_2|buildoutObjectId|0|0|instrument.unequippable|0|1|$|
-72027999	-72029999	object/tangible/furniture/modern/couch_modern_style_01.iff	1	-11.607	-1	11.6526	0.382683	0	0.92388	0		buildoutObjectId|0|0|$|
-72027998	-72029999	object/tangible/furniture/modern/table_modern_style_01.iff	1	-10.6714	-1	10.754	1	0	0	0		buildoutObjectId|0|0|$|
-72027997	-72029999	object/tangible/furniture/modern/table_modern_style_01.iff	1	10.4253	-1	-10.5379	0	0	1	0		buildoutObjectId|0|0|$|
-72027996	-72029999	object/tangible/furniture/modern/couch_modern_style_01.iff	1	11.3608	-1	-11.4366	0.92388	0	-0.382683	0		buildoutObjectId|0|0|$|
-72027993	-72029999	object/tangible/furniture/modern/table_modern_style_01.iff	1	-16.8788	-0.102377	12.289	1	0	0	0		buildoutObjectId|0|0|$|
-72027992	-72029999	object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-16.028	0	13.0384	-0.382683	0	0.92388	0		buildoutObjectId|0|0|occupied.limit|0|1|$|
-72027991	-72029999	object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-16.9587	0	11.377	0.999638	0	0.0268989	0		buildoutObjectId|0|0|occupied.limit|0|1|$|
-72027990	-72029999	object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-17.5829	0	12.6446	0.521404	0	0.85331	0		buildoutObjectId|0|0|occupied.limit|0|1|$|
-72027989	-72029999	object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-12.3121	0.102377	15.9033	0.999638	0	0.026899	0		buildoutObjectId|0|0|occupied.limit|0|1|$|
-72027988	-72029999	object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-12.9363	0.102377	17.1708	0.521404	0	0.85331	0		buildoutObjectId|0|0|occupied.limit|0|1|$|
-72027987	-72029999	object/tangible/furniture/modern/table_modern_style_01.iff	1	-12.2322	0	16.8153	1	0	0	0		buildoutObjectId|0|0|$|
-72027986	-72029999	object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-11.3814	0.102377	17.5647	-0.382683	0	0.92388	0		buildoutObjectId|0|0|occupied.limit|0|1|$|
