objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-774325041	0	object/building/military/pirate_outpost.iff	0	1197.51	79.5	1609.07	-0.256311	0	0.966594	0		$|
-1908401984	-774325041	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-2093773463	-774325041	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-555016066	-774325041	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-1556862676	-774325041	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-1621582391	-774325041	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-1668142224	-1621582391	object/static/item/item_medic_bacta_tank.iff	0	2051.6	0.125266	-1.64733	0.962922	0	0.269781	0		$|
-1847828235	-1621582391	object/static/item/item_medic_bacta_tank_advanced.iff	0	2053.56	0.125266	-3.40844	0.433215	0	0.90129	0		$|
-565923755	-1621582391	object/static/item/item_medic_bacta_tank_advanced.iff	0	2051.4	0.125266	-5.62751	0.72991	0	-0.683544	0		$|
-1927376940	-774325041	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-694282569	-1927376940	object/static/creature/droids_21b_medical.iff	0	2042.41	0.125266	-2.60726	0.707107	0	0.707107	0		$|
-556911782	0	object/static/structure/general/prp_junk_s8.iff	0	1131.95	79.0193	1583.54	-0.657816	-0.152553	0.322969	0.663096		$|
-231542615	0	object/static/structure/general/prp_junk_s6.iff	0	1137.5	80.7874	1606.84	0.741831	0	0	0.670587		$|
-976317925	0	object/static/structure/general/prp_junk_s2.iff	0	1109.66	74.0932	1535.46	-0.103845	0.400537	0.890401	0.189665		$|
-1960783934	0	object/static/structure/general/prp_junk_s1.iff	0	1106.74	73.1531	1538.29	0.837158	0.119021	-0.501289	-0.183603		$|
-879410635	0	object/static/structure/general/prp_junk_s4.iff	0	1133.48	81.1504	1608.48	0.963771	0	0.266731	0		$|
-1241413427	0	object/static/structure/general/prp_junk_s4.iff	0	1130.53	81.2839	1610.15	0.872745	0	-0.488177	0		$|
-2079230854	0	object/static/structure/general/prp_junk_s4.iff	0	1130.07	81.285	1606.44	-0.272313	0	0.962209	0		$|
-2083494600	0	object/static/flora/flora_tree_rori_mkpodtree.iff	0	1202.14	80.9629	1618.93	0.934229	0.0039733	-0.356125	-0.0193671		$|
-1946274642	0	object/static/structure/general/prp_junk_s6.iff	0	1110.23	73.6841	1536.64	0.571476	0.663642	-0.3953	-0.277007		$|
-1677962170	0	object/static/structure/general/prp_junk_s6.iff	0	1106.86	73.4095	1540.2	0.277714	0.722438	-0.633078	0.0130581		$|
-1647848179	0	object/static/structure/general/prp_junk_s4.iff	0	1178.36	81.2651	1547.53	-0.0349929	0	0.999388	0		$|
-1062241431	0	object/static/structure/general/prp_junk_s4.iff	0	1181.55	81.2701	1547.48	0.999388	0	0.0349929	0		$|
-854658269	0	object/static/structure/general/prp_junk_s4.iff	0	1184.7	80.6071	1547.19	0.68193	0	0.731417	0		$|
-2090498086	0	object/static/structure/general/prp_junk_s2.iff	0	1176.84	80.9408	1548.13	-0.161607	0.0732562	0.98064	0.0828407		$|
-942219052	0	object/static/structure/general/prp_junk_s2.iff	0	1115.77	76.2361	1548.02	-0.115538	0	0.993303	0		$|
-1720483051	0	object/static/structure/general/prp_junk_s2.iff	0	1107.23	77.4895	1561.09	0.906344	0.0130125	0.274379	0.321072		$|
-609843239	0	object/static/structure/general/prp_junk_s1.iff	0	1108.21	76.977	1561.92	0.976671	0.13332	-0.0244221	0.166562		$|
-751867451	0	object/static/structure/general/campfire_fresh.iff	0	1174.29	76	1631.32	1	0	0	0		$|
-641399737	0	object/static/structure/general/campfire_fresh.iff	0	1215.83	76	1575.58	1	0	0	0		$|
-977230724	0	object/tangible/furniture/all/frn_all_tiki_torch_s1.iff	0	1110.12	76	1560.84	1	0	0	0		$|
-1246571693	0	object/tangible/furniture/all/frn_all_tiki_torch_s1.iff	0	1169.23	76	1592.67	1	0	0	0		$|
-1674091023	0	object/tangible/furniture/all/frn_all_tiki_torch_s1.iff	0	1185.15	76.046	1579.57	1	0	0	0		$|
-1182814570	0	object/tangible/furniture/all/frn_all_tiki_torch_s1.iff	0	1227.7	76.0029	1569.13	1	0	0	0		$|
-882045225	0	object/tangible/furniture/all/frn_all_tiki_torch_s1.iff	0	1161.82	75.8277	1613.65	1	0	0	0		$|
-1550073655	0	object/tangible/furniture/all/frn_all_tiki_torch_s1.iff	0	1176.93	75.5882	1645.54	1	0	0	0		$|
-409244986	0	object/static/structure/tatooine/antenna_tatt_style_2.iff	0	1089.25	74.8233	1569.1	0.365531	0	0.930799	0		$|
-280675418	0	object/building/endor/endor_tiki_torch.iff	0	330.094	37.5431	16.605	0.995941	0.0848594	-0.00254655	-0.0298872		$|
-2133527664	0	object/building/endor/endor_tiki_torch.iff	0	290.208	28.7479	2.34672	1	0	0	0		$|
-517957242	0	object/building/endor/endor_tiki_torch.iff	0	356.316	34.8818	17.106	0.987432	-0.139151	0.0104559	-0.0741966		$|
-416999969	0	object/building/endor/endor_tiki_torch.iff	0	312.707	35.7269	17.6886	0.996043	-0.0548377	-0.00384492	0.0698371		$|
-1804617885	0	object/building/endor/endor_tiki_torch.iff	0	339.986	38.6057	17.3125	0.995642	-0.0248962	-0.00224673	0.0898505		$|
-648240706	0	object/building/endor/endor_forest_hut.iff	0	294.292	29.0496	5.17921	-0.294759	0	0.955572	0		$|
-1239926135	0	object/building/endor/endor_forest_hut.iff	0	374.542	30.9328	5.7434	0.163467	0	0.986549	0		$|
-1416801220	0	object/building/endor/endor_tiki_torch.iff	0	377.75	30.7404	2.73431	1	0	0	0		$|
-1550759483	0	object/static/structure/dantooine/dant_rack_spears.iff	0	373.196	30.74	3.42018	-0.310477	0.0237613	0.950252	-0.00776353		$|
-1813593959	0	object/static/structure/dantooine/dant_rack_spears.iff	0	294.091	28.7904	2.17875	-0.250103	-0.0196122	0.967875	-0.0168068		$|
-1685100866	0	object/static/structure/dantooine/dant_boundary_post.iff	0	331.774	34.965	32.6622	0.281922	0	0.959437	0		$|
-91884238	0	object/static/structure/dantooine/dant_boundary_post.iff	0	338.521	34.8368	32.4778	-0.36553	0	0.930799	0		$|
-507892488	0	object/building/general/endor_jinda_cave.iff	0	335.15	29.3321	52.8094	-3.20013e-08	0	1	0		$|
-1424652355	-507892488	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-1927988745	-507892488	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-1948313463	-507892488	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-1331595969	-507892488	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-1939786804	-507892488	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-1376581304	-507892488	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-327503350	-507892488	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-1408844359	-507892488	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-850991870	-507892488	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-1579429420	-850991870	object/tangible/container/loot/placable_loot_crate_trashpile.iff	0	1967.72	-63.9866	-107.265	0.998438	0.0249662	0.00124935	0.0499636		$|
-414188864	-507892488	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-2054174542	-414188864	object/tangible/container/loot/placable_loot_crate_trashpile.iff	0	1887.56	-42.05	-77.298	0.998551	-0.0199737	-0.000499783	0.0499767		$|
-580396567	-414188864	object/tangible/container/loot/placable_loot_crate_trashpile.iff	0	1874.99	-42.0272	-66.3293	0.999188	0.0349859	0.00069981	0.0199864		$|
-1160876236	-507892488	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
-995942589	-507892488	object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
-1879421507	-507892488	object/cell/cell.iff	13	0	0	0	1	0	0	0		$|
-57733465	-507892488	object/cell/cell.iff	14	0	0	0	1	0	0	0		$|
-166869423	-507892488	object/cell/cell.iff	15	0	0	0	1	0	0	0		$|
-1334587254	-507892488	object/cell/cell.iff	16	0	0	0	1	0	0	0		$|
-1978261515	-507892488	object/cell/cell.iff	17	0	0	0	1	0	0	0		$|
-961985415	-507892488	object/cell/cell.iff	18	0	0	0	1	0	0	0		$|
-1517888095	-507892488	object/cell/cell.iff	19	0	0	0	1	0	0	0		$|
-366350694	-507892488	object/cell/cell.iff	20	0	0	0	1	0	0	0		$|
-797489960	-507892488	object/cell/cell.iff	21	0	0	0	1	0	0	0		$|
-819222594	-507892488	object/cell/cell.iff	22	0	0	0	1	0	0	0		$|
-245990504	-507892488	object/cell/cell.iff	23	0	0	0	1	0	0	0		$|
-296982175	-507892488	object/cell/cell.iff	24	0	0	0	1	0	0	0		$|
-1370878343	-507892488	object/cell/cell.iff	25	0	0	0	1	0	0	0		$|
-907629344	-507892488	object/cell/cell.iff	26	0	0	0	1	0	0	0		$|
-1734547049	-507892488	object/cell/cell.iff	27	0	0	0	1	0	0	0		$|
-634427143	-1734547049	object/tangible/container/loot/placable_loot_crate_trashpile.iff	0	2079.14	-61.2501	-112.72	0.999838	0.0149987	-0.000149992	-0.00999871		$|
-1998115094	-1734547049	object/tangible/container/loot/placable_loot_crate_trashpile.iff	0	2104.95	-57.6432	-84.4866	0.997689	0.0399848	0.000599817	0.0549283		$|
-2049076531	-1734547049	object/tangible/collection/rare_melee_pestilence.iff	0	2081.67	-61.0445	-109.472	0.565299	0	0	0.824886		$|
-727431475	-507892488	object/cell/cell.iff	28	0	0	0	1	0	0	0		$|
-1658075832	-507892488	object/cell/cell.iff	29	0	0	0	1	0	0	0		$|
-487332026	-1658075832	object/tangible/container/loot/placable_loot_crate_trashpile.iff	0	1985.75	-58.3133	-238.759	0.997502	0.0698981	0.00204829	-0.0100166		$|
-1526027737	-1658075832	object/static/structure/general/skeleton_human_head.iff	0	1983.73	-57.7386	-236.83	0.976976	-0.213347	0	0		$|
-31736537	-1658075832	object/static/structure/general/skeleton_human_head.iff	0	1983.8	-57.7592	-237.076	0.404748	-0.0824781	0.8947	0.169965		$|
-1976131687	-1658075832	object/static/structure/general/skeleton_human_head.iff	0	1983.56	-57.7404	-237.046	-0.602114	0.118923	0.774541	0.152979		$|
-310702828	-1658075832	object/static/particle/pt_smoke_small.iff	0	1983.73	-57.5724	-237.058	1	0	0	0		$|
-1647569027	0	object/static/installation/mockup_power_generator_fusion_style_1.iff	0	1148.02	78	1554.2	0.946042	0	-0.324043	0		$|
-286724134	0	object/static/installation/mockup_power_generator_fusion_style_1.iff	0	1153.92	78	1558.81	0.946042	0	-0.324043	0		$|
-1930584727	0	object/static/structure/corellia/corl_power_connector.iff	0	1155.86	79.0855	1549.79	-0.668953	0.668953	0.229133	0.229133		$|
-1331168788	0	object/building/corellia/ply_corl_house_s_s01_fp1.iff	0	1182.01	80	1557.56	0.9992	0	0.0399893	0		$|
-1550539875	-1331168788	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-1173792438	-1331168788	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-782361704	-1173792438	object/tangible/furniture/all/frn_all_plant_potted_lg_s3.iff	0	2041.06	0.74	-7.26285	1	0	0	0		$|
-356245136	-1173792438	object/static/item/item_painting_bothan_style_01.iff	0	2051.63	1.43338	-7.75037	0.707107	0	0.707107	0		$|
-1364012511	-1173792438	object/static/item/item_painting_corellia_style_01.iff	0	2045.11	1.40408	-7.74112	0.707107	0	0.707106	0		$|
-1798186635	-1331168788	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-1352526075	-1798186635	object/tangible/terminal/terminal_bazaar.iff	0	2044.69	0.74	-0.249622	0.707108	0	0.707105	0		$|
-1384545622	-1798186635	object/tangible/terminal/terminal_bazaar.iff	0	2044.7	0.74	-3.50341	0.707107	0	0.707107	0		$|
-1697570728	-1798186635	object/tangible/terminal/terminal_bank.iff	0	2050.75	0.74	-4.14698	1	0	0	0		$|
-708293421	-1798186635	object/tangible/terminal/terminal_bank.iff	0	2050.76	0.74	0.306336	-3.20013e-08	0	1	0		$|
-1574153149	-1798186635	object/tangible/furniture/modern/table_modern_style_01.iff	0	2044.94	0.74	-1.88791	1	0	0	0		$|
-640336000	-1798186635	object/tangible/furniture/cheap/chair_s01.iff	0	2049.09	0.74	0.640348	-3.20013e-08	0	1	0		$|
-136033243	-1798186635	object/tangible/furniture/cheap/chair_s01.iff	0	2048.32	0.74	0.636827	-3.20013e-08	0	1	0		$|
-679576211	-1798186635	object/tangible/furniture/cheap/chair_s01.iff	0	2047.53	0.74	0.618925	0.0099998	0	0.99995	0		$|
-755838250	-1798186635	object/tangible/furniture/cheap/chair_s01.iff	0	2047.56	0.74	-4.48196	0.999987	0	0.00499958	0		$|
-1994147924	-1798186635	object/tangible/furniture/cheap/chair_s01.iff	0	2048.33	0.74	-4.48616	0.999987	0	0.00499958	0		$|
-839384774	-1798186635	object/tangible/furniture/cheap/chair_s01.iff	0	2049.12	0.74	-4.47618	0.999987	0	-0.00500038	0		$|
-783878158	-1798186635	object/tangible/furniture/all/frn_all_decorative_sm_s4.iff	0	2044.95	1.62544	-1.93467	0.703845	0	0.710353	0		$|
-1779966207	-1798186635	object/static/item/item_painting_agrilat_swamp_style_01.iff	0	2054.99	1.46732	-1.87039	1	0	0	0		$|
