objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
object/building/kashyyyk/thm_kash_rodian_bannerpole_s01.iff	0	0	195	0	0	0	0	0
-774325041	0	object/building/tatooine/shared_starport_tatooine.iff	0	1.76553e-38	5.74897e-41	8.89666e-39	8.60533e-11	0	4.6006e-41	1.79366e-43		$|
-1908401984	-774325041	unknown_16777216.iff	16777216	0	0	0	4.6006e-41	0	0	0		$|
-2093773463	-774325041	unknown_16777216.iff	33554432	0	0	0	4.6006e-41	0	0	0		$|
-555016066	-774325041	unknown_16777216.iff	50331648	0	0	0	4.6006e-41	0	0	0		$|
-1556862676	-774325041	unknown_16777216.iff	67108864	0	0	0	4.6006e-41	0	0	0		$|
-1621582391	-774325041	unknown_16777216.iff	83886080	0	0	0	4.6006e-41	0	0	0		$|
-1668142224	-774325041	unknown_16777216.iff	100663296	0	0	0	4.6006e-41	0	0	0		$|
-1847828235	-774325041	unknown_16777216.iff	117440512	0	0	0	4.6006e-41	0	0	0		$|
-565923755	-774325041	unknown_16777216.iff	134217728	0	0	0	4.6006e-41	0	0	0		$|
-1927376940	-774325041	unknown_16777216.iff	150994944	0	0	0	4.6006e-41	0	0	0		$|
-694282569	-774325041	unknown_16777216.iff	167772160	0	0	0	4.6006e-41	0	0	0		$|
-556911782	-774325041	unknown_16777216.iff	184549376	0	0	0	4.6006e-41	0	0	0		$|
-231542615	-774325041	unknown_16777216.iff	201326592	0	0	0	4.6006e-41	0	0	0		$|
-976317925	-774325041	unknown_16777216.iff	218103808	0	0	0	4.6006e-41	0	0	0		$|
-1960783934	-774325041	unknown_16777216.iff	234881024	0	0	0	4.6006e-41	0	0	0		$|
-879410635	-774325041	unknown_16777216.iff	251658240	0	0	0	4.6006e-41	0	0	0		$|
-1241413427	-774325041	unknown_16777216.iff	268435456	0	0	0	4.6006e-41	0	0	0		$|
-2079230854	0	unknown_33554432.iff	0	5.88958e-39	5.74897e-41	5.94788e-39	8.60533e-11	0	4.6006e-41	1.79366e-43		$|
-2083494600	-2079230854	unknown_16777216.iff	16777216	0	0	0	4.6006e-41	0	0	0		$|
-1946274642	-2079230854	unknown_16777216.iff	33554432	0	0	0	4.6006e-41	0	0	0		$|
-1677962170	-2079230854	unknown_16777216.iff	50331648	0	0	0	4.6006e-41	0	0	0		$|
-1647848179	-2079230854	unknown_16777216.iff	67108864	0	0	0	4.6006e-41	0	0	0		$|
-1062241431	-2079230854	unknown_16777216.iff	83886080	0	0	0	4.6006e-41	0	0	0		$|
-854658269	-2079230854	unknown_16777216.iff	100663296	0	0	0	4.6006e-41	0	0	0		$|
-2090498086	-2079230854	unknown_16777216.iff	117440512	0	0	0	4.6006e-41	0	0	0		$|
-942219052	-2079230854	unknown_16777216.iff	134217728	0	0	0	4.6006e-41	0	0	0		$|
-1720483051	-2079230854	unknown_16777216.iff	150994944	0	0	0	4.6006e-41	0	0	0		$|
-609843239	-2079230854	unknown_16777216.iff	167772160	0	0	0	4.6006e-41	0	0	0		$|
-751867451	-2079230854	unknown_16777216.iff	184549376	0	0	0	4.6006e-41	0	0	0		$|
-641399737	-2079230854	unknown_16777216.iff	201326592	0	0	0	4.6006e-41	0	0	0		$|
-977230724	-2079230854	unknown_16777216.iff	218103808	0	0	0	4.6006e-41	0	0	0		$|
-1246571693	-2079230854	unknown_16777216.iff	234881024	0	0	0	4.6006e-41	0	0	0		$|
-1674091023	-2079230854	unknown_16777216.iff	251658240	0	0	0	4.6006e-41	0	0	0		$|
-1182814570	0	unknown_50331648.iff	0	1.76553e-38	5.74897e-41	5.94752e-39	4.6006e-41	0	0	0		$|
-882045225	0	unknown_67108864.iff	0	4.22463e-41	5.74897e-41	5.94752e-39	-1.04746e+31	0	-1.04746e+31	0		$|
-1550073655	-882045225	unknown_16777216.iff	16777216	0	0	0	4.6006e-41	0	0	0		$|
-409244986	-882045225	unknown_16777216.iff	33554432	0	0	0	4.6006e-41	0	0	0		$|
-280675418	-882045225	unknown_16777216.iff	50331648	0	0	0	4.6006e-41	0	0	0		$|
-2133527664	-882045225	unknown_16777216.iff	67108864	0	0	0	4.6006e-41	0	0	0		$|
-517957242	-882045225	unknown_16777216.iff	83886080	0	0	0	4.6006e-41	0	0	0		$|
-416999969	-882045225	unknown_16777216.iff	100663296	0	0	0	4.6006e-41	0	0	0		$|
-1804617885	-882045225	unknown_16777216.iff	117440512	0	0	0	4.6006e-41	0	0	0		$|
-648240706	-882045225	unknown_16777216.iff	134217728	0	0	0	4.6006e-41	0	0	0		$|
-1239926135	-882045225	unknown_16777216.iff	150994944	0	0	0	4.6006e-41	0	0	0		$|
-1416801220	-882045225	unknown_16777216.iff	167772160	0	0	0	4.6006e-41	0	0	0		$|
-1550759483	-882045225	unknown_16777216.iff	184549376	0	0	0	4.6006e-41	0	0	0		$|
-1813593959	0	unknown_83886080.iff	0	5.90609e-39	5.74897e-41	1.47687e-38	9.68394e-26	0	4.73508e+18	0		$|
-1685100866	0	unknown_100663296.iff	0	1.28303e-41	5.74897e-41	7.54291e-41	4.6006e-41	0	0	0		$|
-91884238	0	unknown_100663296.iff	0	4.26051e-41	5.74897e-41	5.94752e-39	4.6006e-41	0	0	0		$|
-507892488	0	unknown_117440512.iff	0	5.89353e-39	5.74897e-41	5.94357e-39	-1.04746e+31	0	-1.04746e+31	0		$|
-1424652355	0	unknown_117440512.iff	0	1.76621e-38	5.74897e-41	5.94357e-39	-1.04746e+31	0	-1.04748e+31	0		$|
