objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-774325041	0	object/building/kashyyyk/poi_kash_chiss_hut.iff	0	926.378	5.18788	2134.1	0.332736	0	0.94302	0		$|
-1908401984	-774325041	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-2093773463	0	object/building/kashyyyk/poi_kash_chiss_hut.iff	0	959.723	4.0899	2122.92	0.830941	0	-0.556361	0		$|
-555016066	-2093773463	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-1556862676	0	object/building/kashyyyk/poi_kash_chiss_hut.iff	0	833.964	6.14266	2135.68	0.256311	0	0.966594	0		$|
-1621582391	-1556862676	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-1668142224	0	object/building/kashyyyk/poi_kash_chiss_hut.iff	0	813.351	6.44288	2044.26	0.616432	0	0.787408	0		$|
-1847828235	-1668142224	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-565923755	0	object/building/kashyyyk/poi_kash_chiss_hut.iff	0	820.225	6.15294	2021.51	0.886258	0	0.463191	0		$|
-1927376940	-565923755	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-694282569	0	object/building/kashyyyk/poi_kash_chiss_hut.iff	0	904.564	6.14839	1996.37	-0.11712	0	0.993118	0		$|
-556911782	-694282569	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-231542615	0	object/building/kashyyyk/poi_kash_chiss_hut.iff	0	809.94	12.8727	1922.91	0.792076	0	0.610423	0		$|
-976317925	-231542615	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-1960783934	0	object/building/kashyyyk/poi_kash_chiss_hut.iff	0	809.191	10.2833	1944.12	0.616432	0	0.787408	0		$|
-879410635	-1960783934	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-1241413427	0	object/building/kashyyyk/poi_kash_chiss_hut.iff	0	859.581	13.0316	1936.54	-0.301053	0	0.953607	0		$|
-2079230854	-1241413427	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-2083494600	0	object/building/kashyyyk/poi_kash_chiss_hut.iff	0	863.143	13.1454	1900.65	0.934124	0	-0.356949	0		$|
-1946274642	-2083494600	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-1677962170	0	object/building/kashyyyk/poi_kash_chiss_hut.iff	0	970.528	6.6905	1968.15	-0.301052	0	0.953608	0		$|
-1647848179	-1677962170	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-1062241431	0	object/building/kashyyyk/poi_kash_rodian_hut.iff	0	2332.91	48	2541.58	0.810963	0	-0.585097	0		$|
-854658269	-1062241431	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-2090498086	0	object/tangible/furniture/decorative/hanging_planter.iff	0	1.58044	1.19719	4.46033	0.999331	0	-0.0365846	0		$|
-942219052	0	object/tangible/furniture/all/frn_all_chair_recliner_s1.iff	0	3.78418	0.564732	0.907104	-0.5653	0	0.824886	0		$|
-1720483051	0	object/building/endor/endor_giant_catwalk.iff	0	0	0	0	1	0	0	0		$|
-609843239	0	object/building/kashyyyk/poi_kash_all_treewall_sm_s01.iff	0	2709.72	23.4152	2767.71	0.998201	0	-0.059964	0		$|
-751867451	0	object/building/kashyyyk/poi_kash_hunting_camp_tent.iff	0	2308.59	44.0592	2523.37	0.940813	-0.0693973	0.327277	0.0542621		$|
-641399737	0	object/static/structure/general/campfire_fresh.iff	0	2329.99	49.2421	2562.13	1	0	0	0		$|
-977230724	0	object/static/structure/general/poi_tato_tent_s01.iff	0	2340.04	48	2556.44	0.825874	0	0.563855	0		$|
-1246571693	0	object/static/structure/general/skeleton_ancient_s01_with_floor.iff	0	2144.92	10.1794	2610.82	0.630796	-0.0774526	0.771839	0.0190088		$|
-1674091023	0	object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_02.iff	0	2324.88	47.3971	2533.45	-0.475895	0.00311652	0.878873	-0.0331151		$|
-1182814570	0	object/tangible/furniture/tatooine/frn_tato_fruit_stand_large_style_01.iff	0	2233.8	40.1274	2582.85	-0.707107	0	0.707107	0		$|
-882045225	0	object/tangible/furniture/tatooine/frn_tato_meat_rack.iff	0	2330.21	49.0186	2563.31	1	0	0	0		$|
-1550073655	0	object/building/endor/endor_lake_walkway_straight.iff	0	2650.07	16.9725	2590.94	0.975458	0.218132	-0.00595919	0.0293976		$|
-409244986	0	object/building/kashyyyk/poi_kash_all_treewall_lg_s01.iff	0	2638.9	23.2941	2743.83	0.94441	0	-0.328769	0		$|
-280675418	0	object/building/kashyyyk/poi_kash_all_treewall_lg_s01.iff	0	2751.81	21.5621	2751.51	0.985585	0	0.169182	0		$|
-2133527664	0	object/building/kashyyyk/poi_kash_all_treewall_sm_corner_s01.iff	0	2788.01	37.7255	2725.76	0.793048	0	0.609159	0		$|
-517957242	0	object/building/kashyyyk/poi_kash_all_treewall_sm_corner_s01.iff	0	2653.33	23.2941	2716.24	0.976976	0	-0.213347	0		$|
-416999969	0	object/building/kashyyyk/poi_kash_all_treewall_med_s01.iff	0	2648.73	23.2941	2740.32	0.968912	0	-0.247404	0		$|
-1804617885	0	object/static/flora/flora_tree_palm_fngi.iff	0	2150.44	31.3397	2496.81	0.98009	-0.060441	0.0986032	0.161396		$|
-648240706	0	object/static/item/item_axe.iff	0	2279.72	40.3619	2498.34	0.989133	-0.00906698	-0.129317	0.0693527		$|
-1239926135	0	object/static/structure/general/skeleton_ithorian_headandbody.iff	0	2162.71	12.19	2602.42	1	0	0	0		$|
-1416801220	0	object/building/kashyyyk/poi_kash_hunting_camp_tent.iff	0	2294.89	39.7738	2536.84	0.985706	0.0732616	0.151427	0.00924357		$|
-1550759483	0	object/static/structure/general/poi_tato_tent_s01.iff	0	2350.29	43.2577	2582.44	-0.108985	-0.00497648	0.994031	0.000542605		$|
-1813593959	0	object/static/structure/general/poi_tato_tent_s01.iff	0	2369.01	43.175	2579.42	-0.107182	0	0.99424	0		$|
-1685100866	0	object/static/structure/tatooine/pillar_damaged_large_style_01.iff	0	2253.53	22.9082	2630.03	1	0	0	0		$|
-91884238	0	object/static/structure/tatooine/tent_house_tatooine_style_01.iff	0	2340.57	42.2283	2578.98	0.118921	0	0.992904	0		$|
