objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-774325041	0	object/tangible/collection/rare_carbine_corestrike_rancor.iff	0	4224.7	9.57741	4908.45	-0.0761004	0.72659	0.627293	-0.269776		$|
-1908401984	0	object/tangible/collection/rare_rifle_ak_prime.iff	0	4226.79	22.5173	4314.2	0.362329	-0.562674	0.610385	0.423727		$|
-2093773463	0	object/tangible/collection/rare_carbine_coynite_sfor_republic.iff	0	3632.43	158.46	4075.58	-0.530291	0.607494	-0.503163	-0.310759		$|
-555016066	0	object/building/kashyyyk/rock_kashyyyk_small_s01.iff	0	4048.53	18.6655	4927.04	0.946042	0	-0.324043	0		$|
-1556862676	0	object/tangible/collection/rare_rifle_covert_retaliation.iff	0	4697.73	24.9747	4828.1	0.397668	-0.0775465	0.524841	0.748591		$|
-1621582391	0	object/tangible/collection/rare_carbine_white_thranta_e11.iff	0	4409.25	20.4288	4214.7	-0.535344	0.464606	0.503747	-0.493748		$|
-1668142224	0	object/building/kashyyyk/rock_kashyyyk_small_s02.iff	0	4047.21	14.5016	4931.45	0.993395	0	-0.114747	0		$|
-1847828235	0	object/tangible/collection/rare_melee_trando_hunters_lance.iff	0	3968.4	23.8274	4960.74	-0.396787	-0.114645	0.904329	-0.10773		$|
-565923755	0	object/tangible/collection/rare_melee_strike_assault_lance.iff	0	4433.42	32.9481	3895.48	0.888946	-0.0692978	-0.42941	0.143457		$|
-1927376940	0	object/tangible/collection/rare_pistol_ion_stunner.iff	0	4248.29	19.586	4260.52	0.567911	0.426261	0.5664	0.418294		$|
-694282569	0	object/building/military/military_outpost_guard_house_imperial.iff	0	3430.56	18.8235	3987.83	0.0523653	0	0.998628	0		$|
-556911782	-694282569	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-231542615	-694282569	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-976317925	0	object/building/military/mun_all_military_tower_impl_guard_s01.iff	0	3464.9	44.2959	3945.32	0.830941	0	0.556361	0		$|
-1960783934	-976317925	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-879410635	0	object/building/military/mun_all_military_tower_impl_guard_s01.iff	0	3450.46	44.0115	4004.99	0.738469	0	0.674288	0		$|
-1241413427	-879410635	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-2079230854	0	object/building/kashyyyk/mun_kachirho_starport.iff	0	3426.27	18.8475	3947.52	1	0	0	0		$|
-2083494600	-2079230854	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-1946274642	0	object/building/general/bunker_imperial_kashyyyk_01.iff	0	3417.56	18.8235	3986.49	0.0399893	0	0.9992	0		$|
-1677962170	-1946274642	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-1647848179	-1946274642	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-1062241431	-1946274642	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-854658269	-1946274642	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-2090498086	-1946274642	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-942219052	-1946274642	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-1720483051	-1946274642	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-609843239	-1946274642	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-751867451	-1946274642	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-641399737	-1946274642	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-977230724	0	object/building/kashyyyk/poi_kash_slave_camp_fence_piece_s01.iff	0	4307.53	22.5502	4317.43	0.857709	0	-0.514136	0		$|
-1246571693	0	object/building/kashyyyk/thm_kash_south_bridge.iff	0	3383.92	18.3094	4129.01	0.908966	0	-0.416871	0		$|
-1674091023	0	object/building/kashyyyk/thm_kash_guard_hut.iff	0	4322.34	31.8263	3938.48	0.313811	0	0.949486	0		$|
-1182814570	0	object/building/kashyyyk/poi_transport_trandoshan_slaver.iff	0	4642.42	30.476	4580.94	0.833712	0	-0.552199	0		$|
-882045225	0	object/building/kashyyyk/mun_kash_guard_platform.iff	0	4318.42	30.0526	3954.24	0.916938	0.0183412	0.398529	-0.00797165		$|
-1550073655	0	object/building/kashyyyk/poi_kash_slave_camp_tower.iff	0	4589.81	25.6011	4366.47	0.00579639	0	0.999983	0		$|
-409244986	0	object/building/kashyyyk/mun_kash_guard_platform.iff	0	3636.96	17.814	3966.87	-0.31381	0	0.949486	0		$|
-280675418	0	object/building/kashyyyk/poi_kash_slave_camp_fence_piece_s01.iff	0	4614.94	24.6924	4333.69	0.777572	0	0.628794	0		$|
-2133527664	0	object/building/kashyyyk/poi_kash_slave_camp_fence_piece_s01.iff	0	4617.5	24.6067	4326.32	0.830941	0	0.556361	0		$|
-517957242	0	object/building/kashyyyk/poi_kash_slave_camp_fence_piece_s01.iff	0	4621.1	24.6203	4319.62	0.879969	0	0.475032	0		$|
-416999969	0	object/building/kashyyyk/poi_kash_slave_camp_fence_piece_s01.iff	0	4625.65	24.6959	4313.43	0.898261	0	0.439462	0		$|
-1804617885	0	object/building/kashyyyk/poi_kash_slave_camp_gate.iff	0	4613.61	24.402	4344.31	0.751805	0	0.659385	0		$|
-648240706	0	object/building/kashyyyk/poi_kash_slave_camp_fence_piece_s01.iff	0	4613.96	24.3701	4354.32	0.609791	0	0.792563	0		$|
-1239926135	0	object/building/kashyyyk/poi_kash_slave_camp_fence_piece_s01.iff	0	4615.47	24.3661	4362	0.637151	0	0.770739	0		$|
-1416801220	0	object/building/kashyyyk/poi_kash_slave_camp_fence_piece_s01.iff	0	4617.17	24.1844	4369.35	0.617685	0	0.786425	0		$|
-1550759483	0	object/building/kashyyyk/poi_kash_slave_camp_fence_piece_s01.iff	0	4604.63	20.6242	4372.86	0.997551	0	0.0699428	0		$|
-1813593959	0	object/building/kashyyyk/poi_kash_slave_camp_fence_piece_s01.iff	0	4612.31	20.7043	4371.64	0.994493	0	0.104807	0		$|
-1685100866	0	object/building/kashyyyk/poi_kash_slave_camp_pen.iff	0	4597.05	24.0538	4525.84	0.703845	0	0.710353	0		$|
-91884238	0	object/building/kashyyyk/thm_kash_zonegate_gate_simple.iff	0	4511.03	17.8102	5071.23	-0.0242012	0	0.999707	0		$|
-507892488	0	object/building/kashyyyk/thm_kash_zonegate_fence_simple.iff	0	4535.3	16.2565	5074.77	1	0	0	0		$|
