objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-774325041	0	object/tangible/collection/rare_heavy_malevolent_flamethrower.iff	0	3941.72	58.0055	3075.22	0.355349	0.576399	0.611682	0.40907		$|
-1908401984	0	object/tangible/collection/rare_carbine_hk_47.iff	0	1884.59	97.6011	1940.41	1	0	0	0		$|
-2093773463	0	object/tangible/collection/rare_heavy_republic_flame_thrower.iff	0	962.641	139.899	995.31	0.118212	-0.229185	0.805875	0.532978		$|
-555016066	0	object/tangible/collection/rare_carbine_hk_47.iff	0	1674.34	216.4	1850.35	0.347923	-0.615422	0.615912	-0.347646		$|
-1556862676	0	object/tangible/collection/rare_carbine_sfor.iff	0	399.777	146.545	2368.16	0.792868	-0.597126	0.120499	-0.0167376		$|
-1621582391	0	object/tangible/collection/rare_carbine_malevolent_bowcaster.iff	0	1850.73	84.5656	3868.5	-0.35942	-0.566084	0.648945	0.359494		$|
-1668142224	0	object/building/mustafar/structures/must_new_mining_facility.iff	0	1059.5	199.403	2791.08	1	0	0	0		$|
-1847828235	-1668142224	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-565923755	-1668142224	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-1927376940	-1668142224	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-694282569	-1668142224	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-556911782	-1668142224	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-231542615	-1668142224	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-976317925	-1668142224	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-1960783934	-1668142224	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-879410635	-1668142224	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-1241413427	-1668142224	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-2079230854	-1668142224	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
-2083494600	-1668142224	object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
-1946274642	-1668142224	object/cell/cell.iff	13	0	0	0	1	0	0	0		$|
-1677962170	-1668142224	object/cell/cell.iff	14	0	0	0	1	0	0	0		$|
-1647848179	-1668142224	object/cell/cell.iff	15	0	0	0	1	0	0	0		$|
-1062241431	-1668142224	object/cell/cell.iff	16	0	0	0	1	0	0	0		$|
-854658269	-1668142224	object/cell/cell.iff	17	0	0	0	1	0	0	0		$|
-2090498086	-1668142224	object/cell/cell.iff	18	0	0	0	1	0	0	0		$|
-942219052	-1668142224	object/cell/cell.iff	19	0	0	0	1	0	0	0		$|
-1720483051	-1668142224	object/cell/cell.iff	20	0	0	0	1	0	0	0		$|
-609843239	-1668142224	object/cell/cell.iff	21	0	0	0	1	0	0	0		$|
-751867451	-1668142224	object/cell/cell.iff	22	0	0	0	1	0	0	0		$|
-641399737	-1668142224	object/cell/cell.iff	23	0	0	0	1	0	0	0		$|
-977230724	-1668142224	object/cell/cell.iff	24	0	0	0	1	0	0	0		$|
-1246571693	-1668142224	object/cell/cell.iff	25	0	0	0	1	0	0	0		$|
-1674091023	-1668142224	object/cell/cell.iff	26	0	0	0	1	0	0	0		$|
-1182814570	-1668142224	object/cell/cell.iff	27	0	0	0	1	0	0	0		$|
-882045225	-1668142224	object/cell/cell.iff	28	0	0	0	1	0	0	0		$|
-1550073655	-1668142224	object/cell/cell.iff	29	0	0	0	1	0	0	0		$|
-409244986	-1668142224	object/cell/cell.iff	30	0	0	0	1	0	0	0		$|
-280675418	0	object/building/mustafar/structures/must_droid_factory_exterior.iff	0	4018.25	62.7664	2996.65	0.902611	0	-0.430458	0		$|
