objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	sx	sy	sz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	f	f	f	s	p
-2021891732	0	object/soundobject/soundobject_city_crowd_sentients.iff	0	1186.95	11.379	2035.62	1	0	0	0	1	1	1		buildoutObjectId|0|-2021891732|$|
-1798513765	0	object/static/structure/naboo/nboo_imprv_flagpole_s01.iff	0	1182.14	14.6742	1993.56	1	0	0	0	1	1	1		buildoutObjectId|0|-1798513765|$|
-67196124	0	object/soundobject/soundobject_city_crowd_sentients.iff	0	1308.51	6	2046.11	1	0	0	0	1	1	1		buildoutObjectId|0|-67196124|$|
-1	0	object/tangible/poi/base/poi_base.iff	0	1200.18	6	2046.14	1	0	0	0	1	2.84888	1	theme_park.poi.launch:event.gcwraids.gcwraid:event.gcwraids.cheerleader:systems.gcw.gcw_data_updater	Imperial.controlScore|0|50|Rebel.controlScore|0|50|auto_invasion.invasion_active|0|0|auto_invasion.next_invasion_time|2|5275801.000000|auto_invasion.reference_number|0|0|auto_invasion.testing_multiplier|0|1|buildoutObjectId|0|-1|$|
-2133527664	0	object/static/structure/naboo/planter_naboo_theed_style_2.iff	0	520.375	6	2023.03	0.884675	0	0.466208	0	1	1	1		buildoutObjectId|0|-2133527664|$|
-2122832143	0	object/static/structure/general/data_terminal_free_s1.iff	0	1443.26	6	1967.58	0.768052	0	-0.640387	0	1	1	1		buildoutObjectId|0|-2122832143|$|
-2122828343	0	object/static/structure/general/all_foodcart_s01.iff	0	1246.64	6	2022.5	-0.338197	0	0.941075	0	1	1	1		buildoutObjectId|0|-2122828343|$|
-2119634892	0	object/tangible/ground_spawning/area_spawner.iff	0	1385	6	1534	-0.129575	0	0.99157	0	1	1	1	systems.spawning.spawner_area	buildoutObjectId|0|-2119634892|fltMaxSpawnTime|2|1.000000|fltMinSpawnTime|2|0.000000|fltRadius|2|0.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|jak_chucka|strSpawnerType|4|area|strSpawns|4|naboo_jak_chucka|$|
-2103757510	0	object/static/structure/naboo/gungan_statue_s02.iff	0	163.77	9.02731	1834.94	1	0	0	0	1	1	1		buildoutObjectId|0|-2103757510|$|
-2103626539	0	object/tangible/quest/rotting_sapflower.iff	0	1108.07	2.64161	1097.64	0.53186	0	0.846832	0	1	1	1	quest.task.ground.retrieve_item_on_item	buildoutObjectId|0|-2103626539|$|
-2101654914	0	object/tangible/container/jar/jar_empty_s01.iff	0	1381.28	6.09311	1530	1	0	0	0	1	1	1		buildoutObjectId|0|-2101654914|$|
-2093773463	0	object/static/structure/naboo/streetlamp_naboo_theed_style_1.iff	0	757.083	6	2019.65	1	0	0	0	1	1	1		buildoutObjectId|0|-2093773463|$|
-2090498086	0	object/static/structure/naboo/nboo_imprv_lattice_wall_long_s01.iff	0	1142.91	6	1959.26	0.938962	0	0.34402	0	1	1	1		buildoutObjectId|0|-2090498086|$|
-2084246162	0	object/static/particle/pt_sparks_small.iff	0	1423.97	6.69	1918.55	1	0	0	0	1	1	1		buildoutObjectId|0|-2084246162|$|
-2083494600	0	object/static/structure/naboo/nboo_imprv_lattice_wall_long_s01.iff	0	1116.73	6	1981.41	-0.344019	0	0.938962	0	1	1	1		buildoutObjectId|0|-2083494600|$|
-2079230854	0	object/static/structure/naboo/nboo_imprv_lattice_wall_long_s01.iff	0	1111.44	6	1962.55	0.938963	0	0.344019	0	1	1	1		buildoutObjectId|0|-2079230854|$|
-2078992154	0	object/static/particle/pt_sparks_small.iff	0	1549.01	6.69	2012.76	1	0	0	0	1	1	1		buildoutObjectId|0|-2078992154|$|
