objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-774325041	0	object/building/general/talus_aqualish_cave.iff	0	1764.77	38.268	622.596	0.693111	0	0.720831	0		$|
-1908401984	-774325041	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-2093773463	-774325041	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-555016066	-774325041	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-1556862676	-774325041	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-1621582391	-774325041	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-1668142224	-1621582391	object/tangible/container/loot/placable_loot_crate.iff	0	6131.24	-44.9615	1901.09	0.814007	-0.0314407	0.564522	-0.133112		$|
-1847828235	-1621582391	object/tangible/collection/rare_melee_sinew_wrapped_knife.iff	0	6132.43	-44.4388	1899.61	-0.640484	0.039418	0.0528212	0.765138		$|
-565923755	-1621582391	object/tangible/bug_jar/sample_flies.iff	0	6132.68	-44.55	1899.18	0.970143	-0.0379675	0.218507	-0.0981578		$|
-1927376940	-774325041	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-694282569	-774325041	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-556911782	-694282569	object/tangible/container/loot/placable_loot_crate.iff	0	6123.64	-63.2801	1788.27	0.809947	0.0754238	0.581298	0.0197391		$|
-231542615	-774325041	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-976317925	-231542615	object/tangible/container/loot/placable_loot_crate.iff	0	6020.13	-69.6302	1875.92	0.00490361	-0.00431561	0.988747	-0.149456		$|
-1960783934	-231542615	object/tangible/container/loot/placable_loot_crate.iff	0	6077.18	-96.1395	1888.64	0.759579	0.0793811	-0.587559	0.267418		$|
-879410635	-774325041	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-1241413427	-774325041	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-2079230854	-774325041	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
-2083494600	-2079230854	object/tangible/container/loot/placable_loot_crate.iff	0	6043.19	-99.8895	1945.33	0.14313	0.0640724	0.985209	0.0690779		$|
-1946274642	0	object/static/structure/general/tato_cave_rock_large.iff	0	268.389	15.1826	1870.66	0.777573	0	0	0.628793		$|
-1677962170	0	object/static/structure/general/tato_cave_rock_large.iff	0	268.1	15.1901	1868.91	0.644695	-0.353193	-0.445808	0.510762		$|
-1647848179	0	object/static/structure/general/tato_cave_rock_large.iff	0	269.715	15.1465	1869.67	1	0	0	0		$|
-1062241431	0	object/static/structure/general/tato_cave_rock_large.iff	0	268.593	16.8072	1869.86	0.600477	0.137992	-0.10617	0.780457		$|
-854658269	0	object/static/structure/naboo/obelisk_naboo_theed_style_2.iff	0	1172.04	8.11882	1458.22	0.968959	-0.0166256	-0.23712	0.0679381		$|
-2090498086	0	object/static/structure/naboo/obelisk_naboo_theed_style_2.iff	0	1170.08	8.13101	1454.61	-0.508294	-0.0241886	0.858665	0.0612129		$|
-942219052	0	object/static/structure/naboo/obelisk_naboo_theed_style_2.iff	0	1165.83	8.6385	1459.29	-0.679463	0.129335	0.720158	0.0545507		$|
-1720483051	0	object/static/structure/general/tato_cave_stalagmite_tiny.iff	0	1170.09	8.05984	1454.7	1	0	0	0		$|
-609843239	0	object/static/structure/general/tato_cave_stalagmite_tiny.iff	0	1165.99	8.36686	1459.15	1	0	0	0		$|
-751867451	0	object/static/structure/corellia/corl_power_box_node.iff	0	116.999	66.2949	855.879	0.948479	-0.00449205	0.303824	0.0897662		$|
-641399737	0	object/static/structure/corellia/corl_power_arial_prime.iff	0	116.075	66.6544	857.383	0.99875	0	0	0.0499792		$|
-977230724	0	object/static/structure/corellia/corl_power_arial_thin.iff	0	115.309	66.4947	856.133	0.99875	0	0	0.0499792		$|
