objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-774325041	0	object/tangible/jedi/force_shrine_stone.iff	0	733.704	234.762	767.792	0.707107	0	0.707107	0		$|
-1908401984	0	object/static/structure/dantooine/dant_jedi_temple_pillar_sm.iff	0	729.282	235.519	766.195	0.707112	0	0.707101	0		$|
-2093773463	0	object/static/structure/dantooine/dant_jedi_temple_pillar_sm.iff	0	737.966	235.519	766.229	1	0	0	0		$|
-555016066	0	object/static/structure/dantooine/dant_jedi_temple_pillar_base.iff	0	732.736	235.519	766.184	0	0	1	0		$|
-1556862676	0	object/static/structure/dantooine/dant_jedi_temple_pillar_base.iff	0	734.529	235.509	766.136	1	0	0	0		$|
-1621582391	0	object/static/structure/dantooine/dant_jedi_temple_altar.iff	0	733.645	217.566	766.195	1	0	0	0		$|
-1668142224	0	object/static/particle/pt_poi_electricity_2x2.iff	0	733.707	235.519	767.789	1	0	0	0		$|
-1847828235	0	object/static/structure/general/skeleton_human_headandbody.iff	0	337.62	425.687	810.736	0.80291	0.183009	0.540729	-0.171627		$|
-565923755	0	object/static/structure/naboo/gungan_damaged_wide_arch_s01.iff	0	959.474	135.105	683.708	0.859882	0.0129118	0.509611	0.0270743		$|
-1927376940	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	955.69	135.53	681.713	-0.483014	-0.01751	0.875384	0.00966156		$|
-694282569	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	963.021	135.086	686.051	0.908966	0	-0.416871	0		$|
-556911782	0	object/static/structure/naboo/gungan_cleft_wall_lg_s01.iff	0	965.091	134.875	689.874	-0.22233	0	0.974972	0		$|
