## City Gameplay Update - New String Entries
## Add these entries to city/city.stf

# Expulsion System
expulsion_warning	You have been ordered to leave %TU! You have %DI seconds to vacate the city or militia may attack you!
now_attackable_by_militia	The grace period has expired. City militia may now attack you until you leave city limits.
left_city_expulsion_cleared	You have left the city. Expulsion status cleared.
cannot_enter_building_tef	You cannot enter buildings while under city expulsion combat status.
cannot_use_terminal_tef	You cannot use terminals while under city expulsion combat status.
tef_applied_restrictions	You are now in combat with city militia. Building entry and terminal access are restricted.
not_mayor_or_militia	Only the mayor or militia can expel players from the city.
target_not_in_city	Target is not currently within city limits.
expulsion_initiated	Expulsion order has been issued. Target has 120 seconds to leave.
tef_expired	City combat status has expired. Normal access restored.

# Judge Election System
judge_election_started	A city judge election has begun! Citizens may register as candidates and vote over the next 3 days.
judge_election_complete	Judge election has concluded. New judges have been elected.
registered_as_judge_candidate	You have registered as a candidate for city judge.
cannot_run_under_eviction	You cannot run for judge while under eviction proceedings.
already_voted	You have already cast your vote in this election.
vote_recorded	Your vote has been recorded.
no_election_active	There is no active judge election at this time.
already_registered_candidate	You are already registered as a candidate.
invalid_candidate	That is not a valid candidate.
no_candidates	There are no candidates registered for this election.
election_already_active	A judge election is already in progress.
judge_election_started_msg	Judge election started for your city.

# Eviction System
eviction_initiated	Eviction proceedings have been initiated.
eviction_warning_mail_subject	City Eviction Notice
eviction_warning_mail_body	You have been given notice of eviction from %TU. Reason: %TO. You have 7 days to leave the city or file an appeal.
eviction_appeal_filed	Your appeal has been filed and will be reviewed by a city judge.
eviction_appeal_pending	You already have an appeal pending.
eviction_upheld	The judge has upheld your eviction. You are no longer a citizen of this city.
eviction_reversed	The judge has reversed your eviction. You may remain a citizen.
eviction_complete	Your eviction grace period has expired. You are no longer a citizen.
no_eviction_pending	You do not have any eviction pending.
appeal_already_filed	You have already filed an appeal.
eviction_started	Eviction proceedings have been started.

# Extended Taxes
landing_tax_paid	The Imperial Docking Authority of %TU has collected %DI credits in landing fees.
landing_tax_insufficient	You cannot afford the %DI credit landing fee for %TU. You only have %DI credits. Your ship has been redirected outside city limits.
crafting_tax_paid	You have paid %DI credits in crafting tax to %TU.
structure_placement_fee_paid	You have paid %DI credits in structure placement fee to %TU.
set_crafting_tax	Set Crafting Tax
set_vendor_license	Set Vendor License Fee
set_structure_fee	Set Structure Placement Fee
set_landing_tax	Set Starship Landing Tax
extended_taxes	Extended Taxes
tax_updated	Tax has been updated.
invalid_number	Please enter a valid number.

# Menu Items
expel_player	Expel Player
eviction_management	Eviction Management
judge_management	Judge Management
city_court	City Court
start_judge_election	Start Judge Election
register_judge_candidate	Register as Judge Candidate
vote_for_judge	Vote for Judge
review_appeals	Review Eviction Appeals
my_eviction_status	My Eviction Status
begin_eviction	Begin Eviction Proceedings
appeal_eviction	Appeal Eviction
no_pending_appeals	There are no pending eviction appeals.

# City Rank 6
rank6	Metropolis
rank6_desc	A massive metropolitan center with interplanetary travel capabilities.

# Terrain Management
terrain_management	Terrain Management
paint_terrain_radius	Paint Terrain (Radius)
paint_terrain_road	Paint Terrain (Road)
bulldoze_city	Bulldoze City
view_terrain_regions	View Terrain Regions
remove_terrain_region	Remove Terrain Region
terrain_rank_too_low	Your city rank is too low to use this feature.
bulldoze_rank_too_low	Your city must be Rank 3 or higher to bulldoze terrain.
city_already_bulldozed	This city has already been bulldozed.
radius_out_of_range	Radius must be between 5 and your maximum allowed value.
width_out_of_range	Road width must be between 2 and 10 meters.
stand_at_paint_location	Stand at the location where you want to paint terrain.
say_painthere_when_ready	Say '/painthere' when you are ready.
walk_to_road_start	Walk to where you want the road to start.
say_painthere_for_first_marker	Say '/painthere' to set the first marker.
first_marker_set	First road marker set.
walk_to_second_marker	Now walk to where you want the road to end and say '/painthere'.
paint_outside_city	The paint area extends outside city limits.
terrain_painted_radius	Terrain has been painted successfully.
terrain_painted_road	Road terrain has been painted successfully.
city_bulldozed	City terrain has been flattened successfully.
no_terrain_regions	This city has no terrain regions defined.
terrain_region_removed	Terrain region has been removed.
terrain_invalid_params	Invalid terrain command parameters.
terrain_invalid_city	Invalid city specified.
terrain_invalid_type	Invalid terrain modification type.
terrain_region_not_found	Terrain region not found.
click_to_paint_radius	Stand at the center of where you want to paint, then say '/painthere'.
radius_exceeds_limit	Radius exceeds the maximum allowed for your city rank.
terrain_modify	Terrain modification message.




