objid	container	type	shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
i	i	i	h	i	f	f	f	f	f	f	f	f	i
-1800559733	0	1112885583	object/building/corellia/shared_filler_block_corellia_32x16_s01.iff	0	1989	28.0102	1322	1	0	0	0	512	0
-2146611898	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_01.iff	0	1737.5	28	1592.55	0.923881	0	0.382681	0	200	0
-2146255511	0	1398030671	object/static/structure/corellia/shared_corl_imprv_arch_lg_s01.iff	0	1524	28	1477	0.70711	0	-0.707103	0	128	0
-2143851662	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_01.iff	0	1751.07	28	1823.92	0.707109	0	-0.707104	0	200	0
-2142855020	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s04.iff	0	1506.03	28	1713.62	0.707105	0	0.707107	0	128	0
-2139869336	0	1398030671	object/static/structure/corellia/shared_corl_imprv_gate_sm_s01.iff	0	1529.99	28	1926.31	0.382684	0	0.923879	0	128	0
-2135576252	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s02.iff	0	1707	28	1818	0.92388	0	-0.382683	0	128	0
-2134821917	0	1398030671	object/static/structure/general/shared_droid_21bmedical_powerdown.iff	0	2012.2	28	1710.49	0.667463	0	0.744643	0	64	0
-2133527664	0	1398030671	object/static/structure/general/shared_campfire_fresh.iff	0	1965.73	29.877	1159.17	0.998641	0.0372496	-0.00610765	-0.0359362	200	0
-2132041428	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s01.iff	0	1532.54	28	1517.53	0.707109	0	-0.707104	0	128	0
-2130683655	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s01.iff	0	1669.81	28	1562.57	1	0	0	0	128	0
-2127478854	0	1398030671	object/static/structure/corellia/shared_corl_power_transformer_s02.iff	0	1622.13	28	1566.88	0.707123	0	0.70709	0	128	0
-2126718124	0	1398030671	object/static/structure/corellia/shared_corl_imprv_arch_lg_s01.iff	0	2009	33.7048	1717	-0.500001	-0.499999	-0.499999	0.500001	128	0
-2125684298	0	1398030671	object/static/flora/shared_flora_tree_rori_windswept_s00.iff	0	1811.59	28	1671.09	1	0	0	0	64	0
-2120313368	0	1413566031	object/tangible/crafting/station/shared_public_clothing_station.iff	0	1891	28	1773	0.707107	0	0.707107	0	50	0
-2115791403	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s01.iff	0	1807	28	1635	1	0	0	0	128	0
-2110454021	0	1398030671	object/static/structure/general/shared_r3_head.iff	0	2012.34	27.2962	1770.79	0.956802	-0.29074	0	0	64	0
-2105858364	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_01.iff	0	1802.31	28	1667.24	0.92388	0	0.382683	0	200	0
-2105657662	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s02.iff	0	1524	28	1489	0.707109	0	0.707104	0	128	0
-2105539100	0	1398030671	object/static/item/shared_item_medic_bag.iff	0	2014.25	28	1700.94	0.63329	0	0.773915	0	32	0
-2103717892	0	1398030671	object/static/structure/tatooine/shared_antenna_tatt_style_2.iff	0	1930.88	39.3546	1441.55	0.995491	0	0.0948573	0	256	0
-2102312915	0	1112885583	object/building/corellia/shared_filler_slum_16x16_s01.iff	0	1586.31	28	1602.02	0.707108	0	-0.707106	0	512	0
-2096664658	0	1413566031	object/tangible/terminal/shared_terminal_mission.iff	0	1820.77	28	1741.4	0.707109	0	0.707105	0	50	0
-2095030520	0	1413566031	object/tangible/furniture/modern/shared_chair_modern_style_01.iff	0	1849.15	28	2039.58	0.613748	0	0.789502	0	50	0
-2094255330	0	1398030671	object/static/structure/general/shared_bench_generic_style_1.iff	0	1565.77	28	1451.03	-0.707107	0	0.707107	0	200	0
-2093773463	0	1398030671	object/static/structure/general/shared_data_terminal_s4.iff	0	1752.78	28.0662	1486.04	-3.2e-008	0	1	0	200	0
-2092339662	0	1413566031	object/tangible/terminal/shared_terminal_mission_scout.iff	0	1911.24	28	1407.36	0.758102	0	-0.652136	0	50	0
-2090498086	0	1398030671	object/static/structure/tatooine/shared_antenna_tatt_style_1.iff	0	1525.24	8.35486	1092.6	1	0	0	0	256	0
-2089573635	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_01.iff	0	1454.97	27.969	1816.99	-0.707107	0	0.707107	0	200	0
-2089282432	0	1398030671	object/static/structure/general/shared_streetlamp_small_style_01.iff	0	1523.97	33.9451	1465.04	0.000563438	0.999999	0.000563257	-1.69e-007	200	0
-2088211943	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_01.iff	0	1878.22	28	1867.14	-0.382683	0	0.92388	0	200	0
-2085850879	0	1398030671	object/static/item/shared_item_container_organic_food.iff	0	1700.35	28	1700.12	1	0	0	0	32	0
-2085153314	0	1398030671	object/static/structure/general/shared_streetlamp_small_style_01.iff	0	1864.01	33.9451	1634.97	0.0107962	0	0	0.999942	200	0
-2080024834	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s01.iff	0	1456.3	28	1567.35	0.707107	0	0.707107	0	128	0
-2064323194	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_01.iff	0	1609.42	28	1500.9	0.934124	0	0.356949	0	200	0
-2062139072	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s01.iff	0	1773.09	28	1780.94	1	0	0	0	128	0
-2061810060	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s01.iff	0	1816.17	25.3331	1664.08	1	0	0	0	128	0
-2061029959	0	1112885583	object/building/corellia/shared_filler_block_corellia_32x16_s01.iff	0	1821.38	28	1440.56	1	0	0	0	512	0
-2059288352	0	1398030671	object/soundobject/shared_soundobject_city_crowd_sentients_large.iff	0	2026.11	28	1719.46	1	0	0	0	128	0
-2057656848	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s02.iff	0	1855.94	28	1664.03	1	0	0	0	128	0
-2054174542	0	1112885583	object/building/corellia/shared_filler_building_corellia_style_04.iff	0	1777	28	1649	0.707106	0	0.707107	0	512	0
-2052808041	0	1398030671	object/static/structure/corellia/shared_corl_imprv_gate_sm_s01.iff	0	1607	28	1997	1	0	0	0	128	0
-2052164298	0	1398030671	object/static/structure/general/shared_bench_generic_style_1.iff	0	1810.76	28.5951	1938.9	-0.707107	0	0.707107	0	200	0
-2048240439	0	1413566031	object/tangible/furniture/modern/shared_table_modern_style_01.iff	0	1851.54	28	2039.18	0.0956519	0	0.995415	0	50	0
-2046302005	0	1112885583	object/building/corellia/shared_shuttleport_corellia.iff	0	1718.23	28	1522.77	-0.707106	0	0.707107	0	512	0
-2039803806	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s01.iff	0	1505.94	28	1698.29	0.707125	0	-0.707088	0	128	0
-2039640493	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s02.iff	0	1597	28	1917	0.92388	0	-0.382683	0	128	0
-2038846035	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s01.iff	0	1917.37	28	1620.51	0.707109	0	-0.707104	0	128	0
-2038393848	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s01.iff	0	1723	28	1997	1	0	0	0	128	0
-2035630671	0	1398030671	object/static/structure/general/shared_streetlamp_small_blue_style_01.iff	0	1772.44	34.7309	1441.9	0.500199	0.499801	0.500199	0.499801	200	0
-2025335695	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s04.iff	0	1568.33	28	1576.43	1	0	0	0	128	0
-2024722154	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s04.iff	0	1574.06	28	1712.65	0.382684	0	0.92388	0	128	0
-2023090290	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s01.iff	0	1662	28	1456	1	0	0	0	128	0
-2021891732	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s04.iff	0	1583.33	28	1629.54	0.707107	0	0.707107	0	128	0
-2021565079	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s04.iff	0	1495.16	28	1740.77	-0.382684	0	0.923879	0	128	0
-2021053199	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s01.iff	0	1548.94	28	1517.68	1	0	0	0	128	0
-2017318920	0	1398030671	object/static/structure/corellia/shared_corl_imprv_arch_sm_s01.iff	0	2009.02	28	1640.85	1	0	0	0	128	0
-2016578266	0	1398030671	object/static/structure/corellia/shared_corl_imprv_gate_sm_s03.iff	0	1512.71	28	1679.21	-0.707107	0	0.707107	0	128	0
-2013769041	0	1398030671	object/static/creature/shared_corellia_gulingaw.iff	0	1626.19	31.1015	1491.02	0.721381	0	-0.692539	0	200	0
-2009989073	0	1112885583	object/building/corellia/shared_filler_slum_16x32_s02.iff	0	1585.2	28	1646.07	-1e-006	0	1	0	512	0
-2009553239	0	1398030671	object/static/structure/corellia/shared_corl_tent_small.iff	0	1984.02	28	1577.43	1	0	0	0	256	0
-2002742556	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s01.iff	0	1456.38	28	1550.74	0.707109	0	0.707104	0	128	0
-2001538807	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s01.iff	0	1795.98	28	1723.77	0.707109	0	-0.707104	0	128	0
-2000335211	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s02.iff	0	1773.99	28	1681.98	0.707109	0	-0.707104	0	128	0
-2000126819	0	1413566031	object/tangible/terminal/shared_terminal_bazaar.iff	0	1992.66	28.6	1566.69	-3.2e-008	0	1	0	50	0
-1999755438	0	1398030671	object/static/structure/corellia/shared_corl_power_transformer_s01.iff	0	1675.69	28	1585.9	0.707109	0	0.707104	0	128	0
-1999400187	0	1413566031	object/tangible/crafting/station/shared_public_food_station.iff	0	1906.61	28	1750.01	0.707107	0	0.707107	0	50	0
-1998850907	0	1112885583	object/building/corellia/shared_filler_block_corellia_64x32_s01.iff	0	1721.46	28	1875.99	-0.707105	0	0.707108	0	512	0
-1998403719	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_01.iff	0	1937.99	28	1672.65	-3.2e-008	0	1	0	200	0
-1997216042	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_01.iff	0	1611.05	28	1591	-0.707107	0	0.707107	0	200	0
-1995318646	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s01.iff	0	1456.39	28	1750.06	0	0	1	0	128	0
-1995027156	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s01.iff	0	1489.54	28	1517.53	1	0	0	0	128	0
-1991698494	0	1398030671	object/static/structure/corellia/shared_corl_power_bubble_node.iff	0	1603.13	28	1566.88	0.707123	0	0.70709	0	128	0
-1991086215	0	1413566031	object/tangible/furniture/modern/shared_chair_modern_style_01.iff	0	1864.76	28.6176	2023.94	0.954535	0	-0.298098	0	50	0
-1990157455	0	1398030671	object/static/structure/corellia/shared_corl_power_transformer_s01.iff	0	1617.13	28	1560.88	0	0	1	0	128	0
-1985898703	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s01.iff	0	2035.75	28	1845.48	-0.382683	0	0.92388	0	128	0
-1985595830	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s02.iff	0	2037.18	28.611	1708.93	1	0	0	0	128	0
-1984282460	0	1413566031	object/tangible/terminal/shared_terminal_mission_scout.iff	0	1560.19	28.9803	1462.87	-0.376297	0	0.926499	0	50	0
-1981089412	0	1413566031	object/tangible/furniture/ep3_rewards/shared_ep3_kash_reward_trophy_webweaver.iff	0	1997.62	29.1593	1476.47	0.710914	-0.703279	0	0	50	0
-1980998952	0	1398030671	object/static/item/shared_item_cheese_wheel_s1_partial.iff	0	1772.43	28.6233	1999.48	0.866642	0	0.498931	0	32	0
-1978354172	0	1112885583	object/building/corellia/shared_filler_block_corellia_64x32_s01.iff	0	2033.38	28	1914.87	1	0	0	0	512	0
-1975445590	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s02.iff	0	1699.1	28	1758.2	0.92388	0	-0.382683	0	128	0
-1974444442	0	1413566031	object/tangible/sign/shared_all_sign_city_s02.iff	0	1487.51	28	1909.28	0.92388	0	-0.382683	0	50	0
-1971591353	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_01.iff	0	2005.43	28	1873.22	1	0	0	0	200	0
-1971425621	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s01.iff	0	1894.44	28	1781.14	1	0	0	0	128	0
-1967207855	0	1398030671	object/static/structure/general/shared_streetlamp_small_style_01.iff	0	1524.06	33.9451	1477.01	0.000563	0.999999	0.000563	0	200	0
-1965386619	0	1413566031	object/tangible/furniture/modern/shared_chair_modern_style_01.iff	0	1776.09	28	1981.11	0.862807	0	-0.505533	0	50	0
-1963631212	0	1398030671	object/static/structure/general/shared_skeleton_human_headandbody.iff	0	302.396	1.91035	549.391	0.827336	-0.0175209	0.554878	0.0855467	64	0
-1963544267	0	1112885583	object/building/corellia/shared_filler_building_corellia_style_05.iff	0	2008	28	1854	-0.382683	0	0.92388	0	512	0
-1949274203	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s01.iff	0	1691	28	1997	1	0	0	0	128	0
-1948313463	0	1413566031	object/tangible/terminal/shared_terminal_bazaar.iff	0	1684.03	28	1610.74	-3.2e-008	0	1	0	50	0
-1947203364	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s01.iff	0	1931.51	28	1655.69	-2e-006	0	1	0	128	0
-1946936170	0	1413566031	object/tangible/furniture/modern/shared_chair_modern_style_01.iff	0	1872.77	28.6017	1937.53	0.954536	0	-0.298097	0	50	0
-1944920533	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s01.iff	0	1644.02	28	1360.56	-0.0476804	0	0.998862	0	128	0
-1939786804	0	1112885583	object/building/corellia/shared_skyscraper_corellia_style_03.iff	0	1718	28	1784	0.923881	0	-0.382681	0	512	0
-1939326314	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s01.iff	0	1719	28	1357	7.48e-007	0	1	0	128	0
-1937226253	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s01.iff	0	1917.36	28	1597.89	0.707109	0	-0.707104	0	128	0
-1936132872	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s02.iff	0	2043.06	28	1633.7	0.707109	0	0.707105	0	128	0
-1932775541	0	1398030671	object/static/structure/corellia/shared_corl_power_transformer_s01.iff	0	1610.13	28	1560.88	0	0	1	0	128	0
-1928652265	0	1413566031	object/tangible/terminal/shared_terminal_mission_scout.iff	0	1858.98	28	1799.73	-7.41e-008	0	1	0	50	0
