objid	container	type	shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
i	i	i	h	i	f	f	f	f	f	f	f	f	i
-125465744	0	1112885583	object/building/naboo/shared_hospital_naboo.iff	0	1026.54	6	249.049	0.707107	0	-0.707106	0	512	-647578944
-125465743	-125465744	1396919380	object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
-125465742	-125465744	1396919380	object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
-125465741	-125465744	1396919380	object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
-125465740	-125465744	1396919380	object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
-125465739	-125465744	1396919380	object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	0	0
-125465738	-125465744	1396919380	object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	0	0
-125465737	-125465744	1396919380	object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	0	0
-125465736	-125465744	1396919380	object/cell/shared_cell.iff	8	0	0	0	1	0	0	0	0	0
-125465735	-125465744	1396919380	object/cell/shared_cell.iff	9	0	0	0	1	0	0	0	0	0
-125465734	-125465744	1396919380	object/cell/shared_cell.iff	10	0	0	0	1	0	0	0	0	0
-125465733	-125465744	1396919380	object/cell/shared_cell.iff	11	0	0	0	1	0	0	0	0	0
-125465732	-125465744	1396919380	object/cell/shared_cell.iff	12	0	0	0	1	0	0	0	0	0
-125465731	-125465744	1396919380	object/cell/shared_cell.iff	13	0	0	0	1	0	0	0	0	0
-125465730	-125465744	1396919380	object/cell/shared_cell.iff	14	0	0	0	1	0	0	0	0	0
-125462345	0	1398030671	object/static/structure/naboo/shared_bridge_naboo_theed_style_1.iff	0	1363.07	0.161983	4.36377	0.982004	0	0.188859	0	200	0
