objid	container	type	shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	sx	sy	sz	radius	portal_layout_crc
i	i	i	h	i	f	f	f	f	f	f	f	f	f	f	i
-680833787	0	1112885583	object/building/tatooine/shared_housing_tatt_style02_small.iff	0	2012.03	90	1763.27	-0.707106	0	0.707107	0	1	1	1	512	1036126063
-680833786	-680833787	1396919380	object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	1	1	1	0	0
-680833785	-680833787	1396919380	object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	1	1	1	0	0
-680833784	-680833787	1396919380	object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	1	1	1	0	0
-680833783	-680833787	1396919380	object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	1	1	1	0	0
-680833782	-680833787	1396919380	object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	1	1	1	0	0
-680833781	-680833787	1396919380	object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	1	1	1	0	0
-680833780	-680833787	1396919380	object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	1	1	1	0	0
-680833779	-680833787	1396919380	object/cell/shared_cell.iff	8	0	0	0	1	0	0	0	1	1	1	0	0
-680833778	-680833787	1396919380	object/cell/shared_cell.iff	9	0	0	0	1	0	0	0	1	1	1	0	0
-680833774	-680833778	1413566031	object/tangible/terminal/shared_terminal_elevator.iff	9	-1.01	0.26	1.37	0.707107	0	0.707107	0	1	1	1	50	0
-680833771	-680833778	1413566031	object/tangible/terminal/shared_terminal_elevator.iff	9	-1.01	-4.87	1.37	0.707107	0	0.707107	0	1	1	1	50	0
-680833768	-680833778	1413566031	object/tangible/terminal/shared_terminal_elevator.iff	9	-1.01	-10.03	1.37	0.707107	0	0.707107	0	1	1	1	50	0
-543401093	-680833778	1413566031	object/tangible/terminal/shared_terminal_elevator.iff	9	-1.01	0.26	1.37	0.707107	0	0.707107	0	1	1	1	50	0
