objid	container	type	shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
i	i	i	h	i	f	f	f	f	f	f	f	f	i
-2093773463	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_crate_metal_1.iff	0	1205.36	30.5129	597.783	0.993395	0	0	-0.114747	32	0
-2078548910	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_drum_storage_2.iff	0	791.97	40	1699.99	0.997941	0	0.064142	0	32	0
-2074721329	0	1398030671	object/static/structure/tatooine/shared_palette_tatooine_style_01.iff	0	692.64	38.737	32.353	0.707118	0	0.707095	0	32	0
-2059335443	0	1398030671	object/static/item/shared_item_container_weapons.iff	0	692.08	39.741	32.4731	0	0	1	0	32	0
-2054174542	0	1398030671	object/static/structure/tatooine/shared_wall_cleft_tatooine_large_style_01.iff	0	835.292	39.6468	1737.27	0.791932	-0.00818901	-0.610554	-0.00103559	128	0
-2049076531	0	1398030671	object/static/structure/tatooine/shared_pillar_ruined_large_style_01.iff	0	788.18	39.7075	1727.54	0.782005	0.00638483	-0.623218	-0.00519873	128	0
-2046302005	0	1398030671	object/static/structure/tatooine/shared_skeleton_greater_krayt_spine_medium.iff	0	1500.1	55.0993	1776.33	0.839157	-0.088568	-0.536324	-0.0181195	128	0
-2027357817	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_drum_storage_1.iff	0	792.192	40	1704.06	-0.2536	0	0.967309	0	32	0
-2011058935	0	1398030671	object/static/flora/shared_flora_flower_tato_funnel_med.iff	0	1818.43	23.3967	1127.3	1	0	0	0	64	0
-2005344703	0	1398030671	object/static/structure/general/shared_campfire_fresh.iff	0	848.617	40	1713.56	1	0	0	0	200	0
-1998115094	0	1398030671	object/static/structure/tatooine/shared_pillar_damaged_large_style_01.iff	0	785.699	39.8205	1719.54	0.807768	0.00153594	-0.589499	2.78356e-005	128	0
-1994147924	0	1398030671	object/static/structure/general/shared_skeleton_human_headandbody.iff	0	807.902	40	1711.42	1	0	0	0	64	0
-1978261515	0	1398030671	object/static/structure/tatooine/shared_wall_damaged_tatooine_large_style_01.iff	0	787.065	39.522	1722.82	-0.147653	-0.00198365	0.989012	0.00700308	128	0
-1976131687	0	1398030671	object/static/structure/tatooine/shared_pillar_damaged_large_style_01.iff	0	840.006	39.8406	1736.18	0.98869	-0.0113337	0.149409	-0.00642505	128	0
-1952257171	0	1398030671	object/static/structure/tatooine/shared_skeleton_greater_krayt_spine_medium.iff	0	1489.03	55.2413	1783.47	0.819666	0.0184967	-0.525601	0.227044	128	0
-1948313463	0	1398030671	object/static/structure/tatooine/shared_wall_ruined_tatooine_large_style_02.iff	0	792.163	39.4438	1729.5	0.298388	0.00109975	0.954389	0.0102015	128	0
-1939786804	0	1398030671	object/static/structure/tatooine/shared_wall_ruined_tatooine_large_style_02.iff	0	847.374	39.9623	1667.52	0.977123	0.0421881	-0.208286	0.00819128	128	0
-1930584727	0	1398030671	object/static/structure/tatooine/shared_pillar_ruined_large_style_01.iff	0	868.506	39.8358	1710.11	-0.536088	0	0.844162	0	128	0
-1927988745	0	1398030671	object/static/structure/tatooine/shared_wall_ruined_tatooine_large_style_02.iff	0	873.177	39.5766	1698.49	0.738471	0	0.674285	0	128	0
-1927376940	0	1112885583	object/building/tatooine/shared_housing_tatt_style02_small.iff	0	817.1	40.0104	1671.99	1	0	0	0	512	1036126063
-694282569	-1927376940	1396919380	object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
-556911782	-1927376940	1396919380	object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
-231542615	-1927376940	1396919380	object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
-976317925	-1927376940	1396919380	object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
-1960783934	-1927376940	1396919380	object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	0	0
-879410635	-1927376940	1396919380	object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	0	0
-1241413427	-1927376940	1396919380	object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	0	0
-2079230854	-1927376940	1396919380	object/cell/shared_cell.iff	8	0	0	0	1	0	0	0	0	0
-2083494600	-1927376940	1396919380	object/cell/shared_cell.iff	9	0	0	0	1	0	0	0	0	0
-1946274642	-1927376940	1396919380	object/cell/shared_cell.iff	10	0	0	0	1	0	0	0	0	0
-1912013925	0	1398030671	object/static/structure/tatooine/shared_skeleton_greater_krayt_spine_small.iff	0	1515.85	52.6422	1769.34	0.809559	-0.142863	-0.546956	0.158249	128	0
-1908401984	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_crate_1.iff	0	1202.83	29.8011	593.1	0.947651	0	0	-0.319309	32	0
-1908370778	0	1398030671	object/static/item/shared_item_container_electronics.iff	0	692.871	37.9192	28.3047	0.999447	0.0270426	-0.000524032	-0.0193673	32	0
-1896261226	0	1398030671	object/static/item/shared_item_container_electronics.iff	0	691.387	38.0944	26.9395	0.000905654	0.018951	0.99868	0.0477285	32	0
-1879421507	0	1398030671	object/static/structure/tatooine/shared_wall_ruined_tatooine_large_style_02.iff	0	807.287	39.4174	1736.21	0.987173	0.0218476	-0.157637	0.0127383	128	0
-1850418493	0	1398030671	object/static/structure/tatooine/shared_skeleton_greater_krayt_head.iff	0	1479.56	51.9422	1790.35	0.923937	-0.00533804	-0.22498	0.309347	128	0
-1847828235	0	1398030671	object/static/particle/shared_pt_poi_broken_electronics.iff	0	1213.58	30.5121	592.873	1	0	0	0	64	0
-1847629809	0	1398030671	object/static/particle/shared_particle_newbie_hanging_smoke.iff	0	817.911	40.0069	1679.27	1	0	0	0	64	0
-1840669246	0	1398030671	object/static/item/shared_item_mockup_bank_terminal.iff	0	845.757	39.2615	1690.94	-0.668426	0.080365	0.61439	0.411429	32	0
-1819259408	0	1398030671	object/static/structure/tatooine/shared_skeleton_greater_krayt_spine_medium.iff	0	1512.28	52.9744	1771.13	0.811052	-0.152817	-0.553132	0.11352	128	0
-1813593959	0	1398030671	object/static/installation/shared_mockup_mining_liquid_moisture_harvester.iff	0	823.626	40	1699.65	1	0	0	0	64	0
-1803924927	0	1398030671	object/static/structure/tatooine/shared_skeleton_greater_krayt_spine_medium.iff	0	1492.88	56.1489	1781.02	0.844131	0.015886	-0.513899	0.151983	128	0
-1802463285	0	1398030671	object/static/structure/tatooine/jawa/shared_tent_jawa_01_small.iff	0	692.343	37.9762	27.7988	0.998579	0.049641	-0.000962	-0.019351	64	0
-1798186635	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_drum_dented_1.iff	0	795.909	40	1704.79	0.793982	0	0.607941	0	32	0
-1796579464	0	1398030671	object/static/particle/shared_particle_newbie_hanging_smoke.iff	0	809.131	39.9862	1715.09	1	0	0	0	64	0
-1792733855	0	1398030671	object/static/item/shared_item_container_electronics.iff	0	692.805	38.0502	26.8643	0.998708	0.0477351	-0.000832649	-0.0174206	32	0
-1790294714	0	1398030671	object/static/item/shared_item_food_dish_01.iff	0	701.449	38.4821	27.8101	0.998067	0.0619241	-0.000326922	-0.00526919	32	0
-1779966207	0	1398030671	object/static/particle/shared_particle_smoke.iff	0	847.704	40	1683.55	1	0	0	0	64	0
-1734547049	0	1398030671	object/static/structure/tatooine/shared_pillar_damaged_large_style_01.iff	0	784.821	39.8358	1703.07	0.992809	0	-0.119712	0	128	0
-1697718285	0	1398030671	object/static/structure/tatooine/shared_palette_tatooine_style_01.iff	0	692.642	37.867	32.3511	0.707118	0	0.707095	0	32	0
-1697570728	0	1398030671	object/static/structure/general/shared_skeleton_human_headandbody.iff	0	838.188	40	1720.89	-0.458046	0	0.888928	0	64	0
-1694401449	0	1398030671	object/static/structure/general/shared_trash_pile_s01.iff	0	848.53	40	1713.28	-0.380925	0	0.924606	0	200	0
-1690871624	0	1398030671	object/static/item/shared_item_kitchen_chair_01.iff	0	839.65	40	1692.68	0.809489	-0.506373	0.215341	-0.204797	32	0
-1685100866	0	1398030671	object/static/structure/tatooine/shared_stone_hovel_tatooine_style_01.iff	0	794.4	40	1710.67	0.551534	0	0.834152	0	200	0
-1677962170	0	1112885583	object/building/tatooine/shared_housing_tatt_style02_small.iff	0	806.987	39.9599	1722.49	0.198669	0	0.980067	0	512	1036126063
-1647848179	-1677962170	1396919380	object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
-1062241431	-1677962170	1396919380	object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
-854658269	-1677962170	1396919380	object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
-2090498086	-1677962170	1396919380	object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
-942219052	-1677962170	1396919380	object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	0	0
-1720483051	-1677962170	1396919380	object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	0	0
-609843239	-1677962170	1396919380	object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	0	0
-751867451	-1677962170	1396919380	object/cell/shared_cell.iff	8	0	0	0	1	0	0	0	0	0
-641399737	-1677962170	1396919380	object/cell/shared_cell.iff	9	0	0	0	1	0	0	0	0	0
-977230724	-1677962170	1396919380	object/cell/shared_cell.iff	10	0	0	0	1	0	0	0	0	0
-1676495907	0	1398030671	object/static/particle/shared_pt_poi_broken_electronics.iff	0	824.411	40	1681.27	1	0	0	0	64	0
-1675863660	0	1398030671	object/static/item/shared_item_bowl_carved.iff	0	830.94	40	1721.58	0.867819	0	0	0.49688	32	0
-1674730979	0	1398030671	object/static/structure/tatooine/jawa/shared_tent_jawa_01_large.iff	0	700.519	37.6699	29.4497	2.73955e-007	0	1	0	64	0
-1668142224	0	1413566031	object/tangible/camp/shared_camp_tent_s5.iff	0	1211.99	28.9323	596.033	1	0	0	0	50	0
-1658075832	0	1398030671	object/static/structure/tatooine/shared_pillar_damaged_large_style_01.iff	0	802.875	39.5408	1735.09	-0.561439	-0.0195506	0.827217	0.0107405	128	0
-1655606659	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_drum_storage_1.iff	0	792.877	40	1703.09	0.984132	0	-0.177437	0	32	0
-1647569027	0	1398030671	object/static/structure/tatooine/shared_pillar_pristine_large_style_01.iff	0	873.25	39.8358	1703.31	0.998488	0	-0.054972	0	128	0
-1621756186	0	1398030671	object/static/particle/shared_pt_smoke_large.iff	0	811.714	39.9809	1716.65	1	0	0	0	64	0
-1621582391	0	1413566031	object/tangible/camp/shared_camp_cot_s1.iff	0	1201.83	31.0344	595.213	0.0242012	0.999707	0	0	50	0
-1617855107	0	1398030671	object/static/particle/shared_pt_smoke_large.iff	0	818.456	40.0233	1666.68	1	0	0	0	64	0
-1607575945	0	1398030671	object/static/flora/shared_flora_flower_tato_funnel_med.iff	0	1815.25	23.4642	1125.05	1	0	0	0	64	0
-1583250337	0	1398030671	object/static/item/shared_item_jar_empty.iff	0	847.225	40	1698.92	0.857054	0.337359	0.142633	0.362357	32	0
